Question ID,Questions (Source = Google),Questions (Source = John Hopkins),Question (Source = IDPH),Question (Source = UN),Question (Source = FDA),Question (Source = CNN),Question (Source = CDC),Question (Source = GitHub),Question (Source = WJLA),Question (Source = Bing),Question (Source = Yahoo)
1,"are covid cases declining, are covid cases going down, are covid numbers going down, did covid peak, has covid peaked, have covid cases peaked, have covid cases gone down, have covid numbers going down, is covid slowing down, are covid cases dropping, are covid cases going down, did covid peak, has covid peaked, has covid slowed down, have covid cases gone down, have covid cases peaked, have covid deaths peaked, is covid slowing down, did covid peak, is covid getting worse, has covid peaked, has covid slowed down",,,,,,,,,"are covid cases declining, are covid numbers increasing, are covid cases decreasing, did covid peak, have covid cases peaked",
2,"are covid tests free, are covid test free",,,,,,,,,,are covid tests free
3,are covid deaths accurate ,,,,,,,,,,
4,"are covid antibody tests accurate, are covid tests accurate, do covid antibody tests work, which covid test is most accurate, which covid test is best, which covid antibody tests are accurate, which covid test is more accurate, are covid tests accurate, are covid antibody tests accurate, who covid antibodies ",,,,,,,,,are covid tests reliable,"are covid test accurate, are covid tests reliable"
5,"can covid live on food, can covid be transmitted through food, can covid live on food, can covid live on food, can covid spread through food, can covid live on food, can covid be transmitted through food ",Is it safe to order take-out,,,"Can I get the covid from food food packaging or food containers and preparation area, Can I get covid from a food worker handling my food, Are food products produced in the United States or other countries affected by COVID- 19 a risk for the spread of covid ",Can I get covid through food ,"Can the virus that causes covid be spread through food, Can I get sick with covid if it is on food ",,,can covid live on food,"can covid be transmitted through food, can covid live on food"
6,"can covid live in water, can covid spread through water, can covid live in water ",,,,,Can covid spread through water ,,,,,
7,"can covid mutate, is covid mutating, will covid mutate, did covid mutate, does covid mutate, has covid mutated, will covid mutate, can covid mutate, has covid mutated, will covid mutate ",,,,,,,,,"can covid mutate, did covid mutate, had covid mutated","can covid mutate, did covid mutate, has covid mutated, has covid mutated, is covid mutating, will covid mutate"
8,"can covid live in the freezer, can covid survive in heat, can covid live in freezer, does covid die in freezer, does covid survive in freezer, can covid live in the freezer ",Can covid live in heat,,,,"Can high or low temperatures kill covid, Can the heat from a hand dryer kill covid ",What temperature kills the virus that causes covid ,,,"can covid survive cold, does covid survive freezing","can covid live in freezer, does covid die in heat"
9,can covid be transmitted by mosquitoes ,,,,,Can mosquitoes transmit covid,Can mosquitoes or ticks spread the virus that causes covid ,,,,
10,can covid cause a stroke ,,,,,Is it true young people with covid are also having blood clots and strokes ,,,,,
11,"did covid come from bats, did covid come from animals, did covid come from eating bats, did covid start with bats, where covid came from, where covid started, where covid really come from, where covid come from, why covid, did covid come from a bat, did covid come from animals, did covid come from snakes, why covid happened, did covid come from bats, did covid come from eating bats, did covid come from animals, did covid start with bats ",,,,,,,In what species did the covid virus likely originate,,"did covid come from bats, why covid, why covid, why covid","did covid come from bats, did covid come from a bat, did covid start with a bat, did covid come from animals, did covid come from bats, how covid started, why covid"
12,"did covid come from a lab, did covid come from a lab, did covid come from a lab, was covid made in a lab ",,,,,,,,,"did covid start in a lab, was covid engineered, was covid man made, was covid engineered, was covid manufactured","did covid escape from a research lab, is covid man-made, is covid a bioweapon, was covid created in a lab, was covid man-made, was covid engineered, was covid weaponized, was covid manufactured, was covid a bio weapon"
13,do covid symptoms linger ,,,,,,,,,,
14,do covid toes itch ,,,,,,,,,,
15,"do covid antibodies provide immunity, who covid immunity, do covid antibodies mean immunity, do covid antibodies confer immunity, who covid immunity ",,,,,Will an antibody test show whether I’m immune and can go back to work ,,,,,
16,do covid deaths have to be cremated ,,,,,,,,,,
17,"who covid symptoms, what covid symptoms, who covid symptoms ",,What are the symptoms of COVID-2019,,,,What are the symptoms and complications that covid can cause,"What symptoms might people experience with covid, What are the most common symptoms of covid",What are the symptoms of covid,,what are the symptoms of covid
18,"where covid started, where covid come from, where covid came from,  where covid originated, where covid really come from, where covid came from, where covid come from, where covid started ",,What is the source of the virus,,,,What is the source of the virus ,Where did covid originate,,"where covid started, where covid start, where covid originated, where covid came from, where covid originate","where covid come from, where covid came from, where covid started"
19,"has covid been in humans for years, has covid been around longer ",,,,,,,What COVs were known to infect humans before December 2019,,,"has covid been around for a while, has covid always existed"
20,"have covid checks gone out yet, have covid checks been sent, have covid checks gone out, have covid checks been issued, when covid stimulus checks, have covid checks gone out, have covid checks been mailed, have covid checks been sent, have covid checks been sent, have covid checks been issued, when covid checks from government ",,,,,,,,,"have covid checks been sent, when covid checks",
21,"how covid kills, which covid symptoms lead to death, how covid kills, why covid kills, will covid kill me, will covid kill me ",,,,,,,,,"how covid kills, how covid kills",how covid- 19 kills
22,"how covid is transmitted, how covid spreads ",,How does covid spread,,,How does this covid spread,How does the virus spread ,"How does covid get spread, What are ways in which covid is transmitted, How is covid transmitted, How can the covid spread, How is covid spread",How does covid spread,"how covid spreads, how covid spreads","how covid spreads, how covid spreads"
23,"how covid will change the world, how covid will change the world ",,,,,,,,,,
24,"how covid started, how covid started, how covid starts ",,,,,,,,,how covid started,
25,"how covid works, what covid does to the body, how covid works, how covid attacks the body, what covid does, what covid do, what covid does to your body ",,,,,,,,,,"how covid affects the body, how covid works"
26,"how covid is tested, how covid test is done, how covid test is done ",,How is covid diagnosed,,,,What kind of test is being used to diagnose if I have covid ,"What kind of test can diagnose covid, In addition to oral swabs which tests detected the presence of covid virus",,,
27,"is covid airborne, is covid airborne, is covid airborne, is covid in the air, who covid airborne, who covid airborne ",,,Can the virus that causes covid be transmitted through the air ,,Can covid travel by wind ,,,Can the virus that causes covid be transmitted through the air,is covid airborne,"is covid airborne, is covid airborne or droplet"
28,is covid a pandemic ,,,,,,,,,,
29,"is covid worse than the flu, why covid is worse than flu, why covid is worse than the flu, is covid worse than flu, why covid is worse than flu ",,,,,"Why worry about covid when the flu kills so many people, Is covid more contagious than the flu ",,,,,"is covid worse than the flu, why covid is worse than the flu"
30,is covid a flu ,,,,,,,,,,
31,is covid a disease ,,,,,,,,,,
32,"should covid patients be intubated, should covid patients be ventilated, should covid patients be on ventilators ",,,,,,,,,do covid patients on ventilators recover,
33,should covid be reported on the death certificate ,,,,,,,,,,
34,should covid death be cremated ,,,,,,Am I at risk if I touch someone who died of covid after they have passed away ,,,,
35,should covid patients get tracheostomy ,,,,,,,,,,
36, when covid started,,,,,,,"When was the first local transmission of COVID reported in the United States, When was the first case of covid confirmed in the USA",,"when covid start, when covid start",when covid start
37,"was covid planned, was covid planned",,,,,,,,,,
38,"was covid man made, was covid created, was covid man made, was covid created ",,,,,,,,,,
39,"what covid, what covid means, what covid stands for, why covid name, are covid and covid the same, why covid called covid, why covid name ",Why is it called a covid,What is 2019 Novel covid (covid),,What is covid disease 2019 (covid),,Why is the disease being called covid disease 2019 covid ,,What is covid,"what is covid, what covid, what covid stand for, what covid means","how covid got its name, what is covid, what is covid stand for, why covid called novel, why covid name"
40,"what covid looks like, what covid looks like ",,,,,,,,,,
41,"what covid feels like, what covid feels like ",,,,,,,,,"what covid feels like, what covid feels like",
42,"when covid will end, when covid is over, when covid ends, will covid ever end, will covid go away, how covid will end, when covid ends, when covid will end, when covid over, when covid lockdown ends, when covid will be over, will covid end, will covid ever go away, when covid will end, will covid end, will covid end soon, will covid ever end",,,,,"What are the odds that the US can reopen by May 1, How long will we have to keep social distancing",,,,"when covid end, when covid will end, will covid disappear, will covid ever end, will covid ever end","when covid will stop, when covid ends, when covid will end, will covid be gone by summer, will covid die out, will covid go away in spring, will covid end, will covid end"
43,when covid vaccine ,,Is there a vaccine,,Are there any vaccines or other medical products to prevent covid ,,,,Is there a vaccine drug or treatment for covid,,
44,"which covid model is most accurate, which covid model is best ",,,,,,,,,,
50,"why covid testing is important, why covid testing ",,,,If antibody tests are not used for diagnosis or exclusion of covid infection what is their purpose ,,,,,,
51,why covid is worse in us ,,,,,Why is the US so far behind other countries with testing,,,,,
53,"will covid come back in the fall, will covid go away in the summer, will covid be seasonal, does covid die in sunlight, will covid end in summer, will covid come back in the fall, will covid be seasonal ",,,Is there a connection between COVID -19 and environment temperature ,,,Will warm weather stop the outbreak of covid ,,,,"is covid seasonal, will covid come back in the fall, will covid be seasonal"
54,"will covid get worse, will covid get worse, will covid get worse ",,,,,,,,,,
55,will covid come back,,,,,,,,,will covid return next year,will covid be a problem next year
56,"world covid death toll, who covid deaths, who covid mortality rate ",What is covid fatality rate,,,,,,What percentage of people infected with SARS-CoV died,,,
57,are covid tests available ,,,How can I get tested for covid ,"Is there a test for covid, How are people tested for covid, Are there any tests that I can purchase to test myself at home for covid",,Where can I get tested for covid ,,,are covid tests available,"are covid tests available, where to get tested for covid, where can I get tested for covid"
58,"can covid live on hair, can covid live on hair ",,,,,,,,,,
59,can covid be transmitted through sex ,,,,,,,,,,
60,"can covid be cured, do covid have cure ",,,,,,,,,"can covid be cured, do covid have a cure",
61,"do covid symptoms come and go, do covid symptoms come on suddenly, do covid symptoms come on quickly, does covid go away ",,,,,,,,,do covid symptoms come on fast,"are covid symptoms sudden, do covid symptoms come and go, do covid symptoms come on quickly, do covid symptoms come and go"
62,had covid in december ,,,,,,,,,"had covid in january, had covid in november",
63,had covid for a month ,,,,,,,,,,
64,has covid reached us ,,,,,,,,,,
65,"is covid deadly, is covid that bad ",,,,,If infected with covid can you survive it and recover ,,,Should I worry about covid ,had covid and recovered,
66,should covid be capitalized ,,,,,,,,,"should covid be capitalized, should covid be all caps",
67,"was covid predicted, was covid predicted ",,,,,,,,,was covid predicted,was covid predicted
68,which covid is in china ,,,,,,,,,,
69,which covid kills human ,,,,,,,,,,
70,who covid test kits ,,,,,,,,,,
71,why covid lockdown ,,,,,Should all Americans be under stay-at-home orders,,,,,
72,why covid in italy ,,,,,,,,,,
73,why covid so bad in italy ,,,,,,,,,,
74,will covid come back,,,,,,,,,,
75,"can covid live on paper, does covid live on clothes, was covid found in toilet paper ",Can covid live on objects,,"How long does the virus survive on surfaces, Is it safe to receive a package from an area where covid has been reported",,"Do I need to wash my clothes right after encountering other people, Can you get covid from touching money, How long does covid stay “alive” on surfaces, Should I disinfect my groceries, Can I get covid from a package sent from China",Am I at risk for covid from mail packages or products,,"How long does the virus survive on surfaces, Is it safe to receive a package from any area where covid has been reported","can covid live on surfaces, does covid live on surfaces","can covid live on surfaces, can covid live on paper, can covid be sent through the mail, can covid live on clothes, does covid live on paper"
76,what did medicare cover 1965 ,,,,,,,,,,
77,have covid checks been deposited ,,,,,,,,,,
78,what does title 19 cover in oklahoma ,,,,,,,,,,
79,,Should I get a face mask,Should I wear a facemask,"Should I use a mask, Until when should I wear a mask after recovering from an illness with respiratory symptoms","Should I wear a face covering or face mask when I go out in public, Should I purchase personal protective equipment for me and my family",Should I wear a face mask in public,"Does CDC recommend the use of facemask or face coverings to prevent covid, Should children wear masks ",,Should I wear a mask to protect myself,,
80,,Can I make my own hand sanitizer,,,If I can't find hand sanitizer in the store can I make my own,Can I use vodka as hand sanitizer,Should I make my own hand sanitizer if I can’t find it in the stores ,,,,
81,,Is grocery shopping safe during the covid pandemic,Can I go to the supermarket,,What are the most important things I need to know to keep myself and others safe when I go to the grocery store during the pandemic ,,,,,,
82,,Should I stop going to the gym,,,,,,,,,
83,,Should I cancel my trip,,,,If I have a weakened immune system should I cancel my travel plans ,,,,,
84,,Can humans get covid from dogs or cats,"Can I get covid from my pet, Can animals carry the virus that causes covid on their skin or fur",Can humans become infected with the covid from an animal source ,"Can I get covid from my pet or other animals, What animal species can get covid, Is it safe to adopt pets from a shelter or rescue ",,"Can I get covid from my pets or other animals, Can animals carry the virus that causes covid on their skin or fur, Are pets from a shelter safe to adopt ",,,,
85,,What’s the difference between the new covid and other covides,,,,,,,,,
86,,,What does it mean that covid is a Global Pandemic,,,,,,,who covid pandemic,
87,,,Can someone spread the virus without being sick,Can I catch the virus from being in an enclosed space in close proximity to someone who doesn’t have respiratory symptoms ,,How can someone spread covid when asymptomatic ,,,Can covid be caught from a person who has no symptoms,,are covid carriers contagious
88,,,What does the Governor’s stay at home order mean,,,,,,,,
89,,,What is social distancing,,,,,,,,
90,,,Can I go outdoors,,,,Can I walk my dog ,,,,
91,,,What steps should parents take to protect children,,,,,,,,
92,,,Who is at higher risk,"How likely am I to catch covid, Are pregnant women more susceptible to the covid virus and will it harm the fetus, What is the risk of my child becoming sick with covid","Am I at risk for serious complications from covid if I smoke cigarettes, If I vape tobacco or nicotine am I at risk for complications from covid","Are smokers or vapers at higher risk, Are kids more at risk, Is covid especially harmful for pregnant women","What is the risk of my child becoming sick with covid, Is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from covid, Who is at higher risk for serious illness from covid, Are people with disabilities at higher risk ","For whom does the covid pose a great threat, Who is at greater risk of dying from covid, How does being a smoker impact covid patient outcomes","How likely am I to catch covid, Who is at risk of developing severe illness",who is covid killing,
93,,,Should I clean “high touch” surfaces,,,,,,,,
94,,,What are the treatments for covid,,"What treatments are available for covid, Are there any FDA-approved drug products or medicines to treat covid",,,,,,are covid treatments working in nyc
95,,,What should health care providers laboratories and health departments do,,,,,What are the steps that a hospital should take after covid outbreak,,,
96,,,,How do I know if it is covid or just the common flu ,,,,,,,
97,,,,What can I do to protect myself and prevent the spread of disease ,How can I prevent covid ,What’s the best way to prevent covid,,,What can I do to protect myself and prevent the spread of disease,,
98,,,,How long is the incubation period for covid ,,,,How long is the incubation time for covid,How long is the incubation period for covid,,
