Question,Answer,Source,Date Retrieved
are covid cases declining,-,Keyword Tools - Bing,3-May-20
are covid numbers increasing,-,Keyword Tools - Bing,3-May-20
are covid tests available,-,Keyword Tools - Bing,3-May-20
are covid cases decreasing,-,Keyword Tools - Bing,3-May-20
are covid tests reliable,-,Keyword Tools - Bing,3-May-20
can covid-19 live on surfaces,-,Keyword Tools - Bing,3-May-20
can covid 19 mutate,-,Keyword Tools - Bing,3-May-20
can covid 19 live on food,-,Keyword Tools - Bing,3-May-20
can covid-19 be cured,-,Keyword Tools - Bing,3-May-20
can covid 19 survive cold,-,Keyword Tools - Bing,3-May-20
did covid 19 come from bats,-,Keyword Tools - Bing,3-May-20
did covid 19 start in a lab,-,Keyword Tools - Bing,3-May-20
did covid-19 come from america,-,Keyword Tools - Bing,3-May-20
did covid peak,-,Keyword Tools - Bing,3-May-20
did covid-19 mutate,-,Keyword Tools - Bing,3-May-20
do covid-19 patients need blood,-,Keyword Tools - Bing,3-May-20
do covid 19 symptoms come on fast,-,Keyword Tools - Bing,3-May-20
do covid 19 have a cure,-,Keyword Tools - Bing,3-May-20
do covid-19 patients on ventilators recover,-,Keyword Tools - Bing,3-May-20
do covid symptoms always include fever,-,Keyword Tools - Bing,3-May-20
does covid 19 live on surfaces,-,Keyword Tools - Bing,3-May-20
does covid-19 kill animals,-,Keyword Tools - Bing,3-May-20
does covid 19 cause permanent lung damage,-,Keyword Tools - Bing,3-May-20
does covid survive freezing,-,Keyword Tools - Bing,3-May-20
does covid cause diarrhea,-,Keyword Tools - Bing,3-May-20
had covid 19 in january,-,Keyword Tools - Bing,3-May-20
had covid-19 mutated,-,Keyword Tools - Bing,3-May-20
had covid 19 in november,-,Keyword Tools - Bing,3-May-20
had covid 19 and recovered,-,Keyword Tools - Bing,3-May-20
have covid,-,Keyword Tools - Bing,3-May-20
have covid cases peaked,-,Keyword Tools - Bing,3-May-20
have covid checks been sent,-,Keyword Tools - Bing,3-May-20
have covid with no symptoms,-,Keyword Tools - Bing,3-May-20
have covid 19 cases increased in china,-,Keyword Tools - Bing,3-May-20
how covid 19 kills,-,Keyword Tools - Bing,3-May-20
how covid 19 spreads,-,Keyword Tools - Bing,3-May-20
how covid spreads,-,Keyword Tools - Bing,3-May-20
how covid 19 started,-,Keyword Tools - Bing,3-May-20
how covid-19 kills,-,Keyword Tools - Bing,3-May-20
is covid 19 airborne,-,Keyword Tools - Bing,3-May-20
is covid-19 airborne,-,Keyword Tools - Bing,3-May-20
what is covid 19,-,Keyword Tools - Bing,3-May-20
should covid-19 be capitalized,-,Keyword Tools - Bing,3-May-20
should covid be all caps,-,Keyword Tools - Bing,3-May-20
should covid-19 patients take advil,-,Keyword Tools - Bing,3-May-20
should covid 19 patients take ibuprofen,-,Keyword Tools - Bing,3-May-20
should covid 19 patients avoid ibuprofen,-,Keyword Tools - Bing,3-May-20
was covid 19 engineered,-,Keyword Tools - Bing,3-May-20
was covid 19 predicted,-,Keyword Tools - Bing,3-May-20
was covid 19 man made,-,Keyword Tools - Bing,3-May-20
was covid engineered,-,Keyword Tools - Bing,3-May-20
was covid19 manufactured,-,Keyword Tools - Bing,3-May-20
what covid-19,-,Keyword Tools - Bing,3-May-20
what covid stand for,-,Keyword Tools - Bing,3-May-20
what covid feels like,-,Keyword Tools - Bing,3-May-20
what covid 19 feels like,-,Keyword Tools - Bing,3-May-20
what covid-19 means,-,Keyword Tools - Bing,3-May-20
when covid end,-,Keyword Tools - Bing,3-May-20
when covid-19 start,-,Keyword Tools - Bing,3-May-20
when covid 19 start,-,Keyword Tools - Bing,3-May-20
when covid checks,-,Keyword Tools - Bing,3-May-20
when covid 19 will end,-,Keyword Tools - Bing,3-May-20
where covid 19 started,-,Keyword Tools - Bing,3-May-20
where covid start,-,Keyword Tools - Bing,3-May-20
where covid-19 originated,-,Keyword Tools - Bing,3-May-20
where covid 19 came from,-,Keyword Tools - Bing,3-May-20
where covid 19 originate,-,Keyword Tools - Bing,3-May-20
which covid is sars,-,Keyword Tools - Bing,3-May-20
which covid 19 start,-,Keyword Tools - Bing,3-May-20
which covid 19 mask works,-,Keyword Tools - Bing,3-May-20
which covid symptoms appear first,-,Keyword Tools - Bing,3-May-20
which covid 19 symptoms come first,-,Keyword Tools - Bing,3-May-20
who covid-19,-,Keyword Tools - Bing,3-May-20
who covid,-,Keyword Tools - Bing,3-May-20
who covid-19 dashboard,-,Keyword Tools - Bing,3-May-20
who covid 19,-,Keyword Tools - Bing,3-May-20
who covid-19 pandemic,-,Keyword Tools - Bing,3-May-20
who's covid-19 solidarity response fund,-,Keyword Tools - Bing,3-May-20
who is covid-19 killing,-,Keyword Tools - Bing,3-May-20
who is covid-19 patient 0,-,Keyword Tools - Bing,3-May-20
why covid-19,-,Keyword Tools - Bing,3-May-20
why covid 19,-,Keyword Tools - Bing,3-May-20
why covid,-,Keyword Tools - Bing,3-May-20
why covid 19 dangerous,-,Keyword Tools - Bing,3-May-20
why covid-19 so dangerous,-,Keyword Tools - Bing,3-May-20
will covid 19 disappear,-,Keyword Tools - Bing,3-May-20
will covid 19 end the world,-,Keyword Tools - Bing,3-May-20
will covid ever end,-,Keyword Tools - Bing,3-May-20
will covid 19 ever end,-,Keyword Tools - Bing,3-May-20
will covid 19 return next year,-,Keyword Tools - Bing,3-May-20
would microwave kill covid-19,-,Keyword Tools - Bing,3-May-20
