Question,Answer,Source,Date Retrieved
What is a novel coronavirus ,"A novel coronavirus is a new coronavirus that has not been previously identifed. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.",CDC,28-Apr-20
"Why is the disease being called coronavirus disease 2019, COVID-19  ","The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”. ",CDC,28-Apr-20
Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19  ,"People in the U.S. may be worried or anxious about friends and relatives who are living in or visiting areas where COVID-19 is spreading. Some people are worried about getting the disease from these people. Fear and anxiety can lead to social stigma, for example, toward people who live in certain parts of the world, people who have traveled internationally, people who were in quarantine, or healthcare professionals. ",CDC,28-Apr-20
How can people help stop stigma related to COVID-19  ,People can fight stigma by providing social support in situations where you notice this is occurring. ,CDC,28-Apr-20
Why do some state’s COVID-19 case numbers sometimes differ from what is posted on CDC’s website  ,CDC’s overall case numbers are validated through a confirmation process with jurisdictions. The process used for finding and confirming cases displayed by different places may differ. ,CDC,28-Apr-20
How do CDC’s COVID-19 case numbers compare with those provided by the World Health Organization (WHO) or Johns Hopkins  ,"CDC’s COVID-19 case numbers include many publicly reported numbers, including information from state, local, territorial, international and external partners. ",CDC,28-Apr-20
Why do the number of cases for previous days increase  ,Delays in reporting can cause the number of COVID-19 cases reported on previous days to increase.,CDC,28-Apr-20
What is the source of the virus  ,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in people and may different species of animals, including camels, cattle, cats, and bats. Rarely, animal coronaviruses can infect people and then spread between people. The SARS-CoV-2 virus is a betacoronavirus, like MERS-CoV and SARS-CoV. All three of these viruses have their origins in bats. The sequences from U.S. patients are similar to the one that China initially posted, suggesting a likely single, recent emergence of this virus from an animal reservoir. However, the exact source of this virus is unknown.",CDC,28-Apr-20
How does the virus spread  ,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs or sneezes. ",CDC,28-Apr-20
Why are we seeing a rise in cases  ,The number of cases of COVID-19 being reported in the United States is rising due to increased laboratory testing and reporting across the country. The growing number of cases in part re$ects the rapid spread of COVID-19 as many U.S. states and territories experience community spread.,CDC,28-Apr-20
Can someone who has had COVID-19 spread the illness to others  ,How long someone is actively sick can vary so the decision on when to release someone from isolation is made using a test-based or non-test-based strategy (i.e. time since illness started and time since recovery) in consultation with state and local public health officials. ,CDC,28-Apr-20
Can someone who has been quarantined for COVID-19 spread the illness to others  ,Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period. ,CDC,28-Apr-20
"Can the virus that causes COVID-19 be spread through food, including restaurant take out, refrigerated or frozen packaged food  ","Currently, there is no evidence to support transmission of COVID-19 associated with food. ",CDC,28-Apr-20
