Question,Answer,Source,Date Retrieved
Can coronavirus travel by wind ,"Coronavirus cannot travel very far in the air, the World Health Organization says. ",Cable News Network,29-Apr-20
Should I stop wearing contacts and switch to glasses ,There is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.,Cable News Network,29-Apr-20
"Can you safely reuse a non-cloth mask that you can’t wash, like a disposable mask ","Yes you can, said Dr. Joseph Vinetz, an infectious diseases professor at Yale School of Medicine. ",Cable News Network,29-Apr-20
What’s so different about coronavirus that we have to shut down businesses ,"Unlike SARS and swine flu, the novel coronavirus is both highly contagious and especially deadly, CNN Chief Medical Correspondent Dr. Sanjay Gupta said. ",Cable News Network,29-Apr-20
"Will ingesting or injecting disinfectants, like the ones that kill viruses on surfaces, protect me against coronavirus or kill coronavirus if I already have it ","“That’s a bad idea,” said Dr. Colleen Kraft, an infectious diseases professor at Emory University School of Medicine. “It could definitely kill you.” ",Cable News Network,29-Apr-20
Can mosquitoes transmit coronavirus,No. ,Cable News Network,29-Apr-20
Is it true young people with coronavirus are also having blood clots and strokes ,"Yes, some young adults have subered strokes after getting coronavirus. ",Cable News Network,29-Apr-20
Why worry about coronavirus when the flu kills so many people ,The number of Americans killed from Covid-19 and those who have died from the flu this season are now comparable. But deaths from Covid-19 are happening at a much faster rate. ,Cable News Network,29-Apr-20
Why can’t we just test everyone in the US ,"Doctors say it’s not realistic to test all 328 million people in the US, especially since many states are still struggling to get enough tests or testing supplies. ",Cable News Network,29-Apr-20
"Do I need to wash my clothes right after encountering other people, like at the grocery store or while jogging ","Coronavirus can stay alive for up to three days on stainless steel and plastic. But clothing is probably more like cardboard — it’s more absorbent, so the virus is unlikely to stay and last that long.",Cable News Network,29-Apr-20
Can coronavirus spread through water,There is no evidence that COVID-19 can be spread to humans through the use of pools and hot tubs.,Cable News Network,29-Apr-20
How can someone spread coronavirus when asymptomatic ,"When you speak, sometimes you’ll spit a little bit. You’ll rub your nose. You’ll touch your mouth. You’ll rub your eyes. And then you’ll touch other surfaces, and then you will be spreading virus if you are infected and shedding asymptomatically.",Cable News Network,29-Apr-20
Can you get coronavirus from touching money — either cash or coins ,Viruses can live on surfaces and objects — including on money — although your chance of actually getting COVID-19 from cash is probably very low.,Cable News Network,29-Apr-20
Will an antibody test show whether I’m immune and can go back to work ,"Not necessarily. Antibodies are a body’s response to bacteria or viruses. But this novel coronavirus is so new, it’s still not clear whether having antibodies to it means you have long-term protection from getting reinfected. ",Cable News Network,29-Apr-20
"If novel coronavirus antibodies may or may not offer long-term immunity, how would a vaccine help ","In some cases, a vaccine might give stronger protection than antibodies produced after being infected, epidemiologist. ",Cable News Network,29-Apr-20
What are the odds that the US can reopen by May 1 ,"“May 1st, I think, is completely unrealistic,” said Dr. Ashish Jha, director of the Harvard Global Health Institute. ",Cable News Network,29-Apr-20
Are some blood types able to fight this coronavirus better than other blood types ,"“With this respiratory virus, (as) with other coronaviruses, no,” said Dr. Maria Van Kerkhove, technical lead for the World Health Organization’s Covid-19 response. ",Cable News Network,29-Apr-20
Can I use vodka as hand sanitizer,The CDC advises using hand sanitizer that contains at least 60% alcohol. ,Cable News Network,29-Apr-20
Are smokers or vapers at higher risk,This is not a good time to be vaping or smoking anything. ,Cable News Network,29-Apr-20
Can I get coronavirus through food ,There’s no evidence that coronavirus can be transmitted through food.,Cable News Network,29-Apr-20
Does this pandemic have anything to do with the 5G network ,No. That’s just a hoax going around the internet. ,Cable News Network,29-Apr-20
