Question,Answer,Source,Date Accessed
When was the Middle East Respiratory Syndrome Coronavirus isolated first,"(MERS-CoV) was first isolated in 2012, in a 60-year-old man who died in Jeddah, KSA due to severe acute pneumonia and multiple organ failure",GitHub COVID-QA Dataset,27-Apr-20
Which medical comorbidities most profoundly influenced MERS-CoV outcomes,"if they were obese, immunocompromised, diabetic or had cardiac disease",GitHub COVID-QA Dataset,27-Apr-20
What is the size of bovine coronavirus,31 kb,GitHub COVID-QA Dataset,27-Apr-20
What is the estimated R0 of COVID-19,2.2,GitHub COVID-QA Dataset,27-Apr-20
What is the relationship between SARS-CoV and acute lung injury (ALI),Many infected patients have acute lung injury (ALI),GitHub COVID-QA Dataset,27-Apr-20
What is the relationship between the presence of virus in anal swabs and disease severity in 2019-nCOV,"In the anal swab cohort (Figure 1 (B)), 11 of 28 cases were detected to be anal swab positive, 8 of them (72.7%) were with severe symptoms, which was significantly higher than that 4 (23.5%) of the rest 17 cases without detectable virus in anal were severe cases",GitHub COVID-QA Dataset,27-Apr-20
What is a key assumption of a semi-mechanistic Bayesian hierarchical model used for coronavirus,"each intervention has the same effect on the
reproduction number across countries and over time",GitHub COVID-QA Dataset,27-Apr-20
What is the genus of the SARS coronavirus,Betacoronavirus,GitHub COVID-QA Dataset,27-Apr-20
What will be the drug of choice for treating COVID-19 between Chloroquine and Remdesivir," two potential drugs, CQ appears to be the drug of choice for large-scale use due to its availability, proven safety record, and a relatively low cost.",GitHub COVID-QA Dataset,27-Apr-20
What was the read coverage for the E-30 genome in this study,260-fold,GitHub COVID-QA Dataset,27-Apr-20
 What is important for understanding the origin and evolution of this novel lineage B betacoronavirus,"Learning from the roles of civet in SARS and camel in MERS, hunting for the animal source of 2019-nCoV and its more ancestral virus",GitHub COVID-QA Dataset,27-Apr-20
Why might we underestimate the spread of COVID19,"limited information available regarding incubation time, transmissibility, and virus origin",GitHub COVID-QA Dataset,27-Apr-20
What could be the implication of 2019-nCOV virus in anal swabs,digestive tract might be one extrapulmonary site for virus replication,GitHub COVID-QA Dataset,27-Apr-20
What is the relation between the new2019-nCOV and the conserved orf8,the new 2019-nCoV orf8 is distant from the conserved orf8 ,GitHub COVID-QA Dataset,27-Apr-20
Where does the NLRP3 inflammasome activate after a SARS-CoV infection,in lipopolysaccharide-primed macrophages,GitHub COVID-QA Dataset,27-Apr-20
What was the fatality rate of the SARS coronavirus outbreak between November 2002 and July 2003,9.60%,GitHub COVID-QA Dataset,27-Apr-20
How many nucleotides does bovine coronavirus contain,"30,847 nucleotides",GitHub COVID-QA Dataset,27-Apr-20
In vitro comparison of antiviral activity of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against COVID-19,"compare the antiviral activity of CQ versus HCQ, the dose-response curves",GitHub COVID-QA Dataset,27-Apr-20
