Question,Answer,Source,Date Retrieved
What is coronavirus disease 2019 (COVID-19),Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. ,Food and Drug Administration,28-Apr-20
How can I prevent COVID-19 ,The best way to prevent illness is to avoid being exposed to the virus. ,Food and Drug Administration,28-Apr-20
Should I wear a face covering or face mask when I go out in public ,"A: CDC recommends wearing cloth face coverings in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community-based transmission of the coronavirus. ",Food and Drug Administration,28-Apr-20
Q: What treatments are available for COVID-19 ,People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. ,Food and Drug Administration,28-Apr-20
"Q: Can disinfectant sprays or wipes be used on my skin, injected, inhaled, or ingested to prevent or treat COVID-19 ","A: No. Always follow the instructions on household cleaners. Disinfectant sprays or wipes are intended for use on hard, non-porous surfaces. Disinfectant sprays or wipes are not intended for use on humans or animals. Do not use disinfectant sprays or wipes on your skin because they may cause skin and eye irritation. Do not inject, inhale, or ingest disinfectant sprays or household cleaners; doing so is dangerous and may cause serious harm or death. If ingested, call poison control or a medical professional immediately. ",Food and Drug Administration,28-Apr-20
Where can I buy hand sanitizer,Many retail stores and pharmacies sell hand sanitizers. ,Food and Drug Administration,28-Apr-20
"If I can't find it in the store, can I make my own",The FDA does not recommend that consumers make their own hand sanitizer. ,Food and Drug Administration,28-Apr-20
What do I do if I get a rash or other reaction to hand sanitizer ,Call your doctor if you experience a serious reaction to hand sanitizer. FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA’s MedWatch Adverse Event Reporting program.,Food and Drug Administration,28-Apr-20
Where can I report websites selling fraudulent medical products ,"You can report websites selling fraudulent medical products to the FDA through our website, by phone, or mail.",Food and Drug Administration,28-Apr-20
Am I at risk for serious complications from COVID-19 if I smoke cigarettes ,Smoking cigarettes can leave you more vulnerable to respiratory illnesses such as COVID-19. Smoking cigarettes is known to cause heart and lung disease and people with underlying heart and lung problems may have increased risk for serious complications from COVID-19.,Food and Drug Administration,28-Apr-20
 If I vape tobacco or nicotine am I at risk for complications from COVID-19 ,"E-cigarette use can expose the lungs to toxic chemicals, but whether those exposures increase the risk of COVID-19 or the severity of COVID-19 outcomes is not known.",Food and Drug Administration,28-Apr-20
What is a biological medical product or a biologic ,"Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues. ",Food and Drug Administration,28-Apr-20
Are there any vaccines or other medical products to prevent COVID-19 ,At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19).,Food and Drug Administration,28-Apr-20
Does COVID-19 present a risk to the safety of the nation’s blood supply ,"In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus. ",Food and Drug Administration,28-Apr-20
"What steps are being taken to protect the U.S. blood supply from SARS-CoV-2, the virus that causes COVID-19 ",Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. ,Food and Drug Administration,28-Apr-20
Why aren’t blood centers testing donors for SARS-CoV-2 ,"Someone who has symptoms of COVID-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. ",Food and Drug Administration,28-Apr-20
