Question,Answer,Source,Date Retrieved
are covid cases declining ,-,Keyword Tool - Google Searches,29-Apr-20
are covid 19 cases going down ,-,Keyword Tool - Google Searches,29-Apr-20
are covid numbers going down ,-,Keyword Tool - Google Searches,29-Apr-20
are covid tests free ,-,Keyword Tool - Google Searches,29-Apr-20
are covid 19 deaths accurate ,-,Keyword Tool - Google Searches,29-Apr-20
are covid antibody tests accurate ,-,Keyword Tool - Google Searches,29-Apr-20
are covid tests accurate ,-,Keyword Tool - Google Searches,29-Apr-20
are covid 19 test free ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 live on food ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 live in water ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 mutate ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 live in the freezer ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 be transmitted through food ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 be transmitted by mosquitoes ,-,Keyword Tool - Google Searches,29-Apr-20
can covid live on food ,-,Keyword Tool - Google Searches,29-Apr-20
can covid 19 cause a stroke ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 come from bats ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 come from animals ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 peak ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 peak in the us ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 start in europe ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 come from a lab ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 come from eating bats ,-,Keyword Tool - Google Searches,29-Apr-20
did covid 19 start with bats ,-,Keyword Tool - Google Searches,29-Apr-20
do covid symptoms linger ,-,Keyword Tool - Google Searches,29-Apr-20
do covid antibody tests work ,-,Keyword Tool - Google Searches,29-Apr-20
do covid toes itch ,-,Keyword Tool - Google Searches,29-Apr-20
do covid antibodies provide immunity ,-,Keyword Tool - Google Searches,29-Apr-20
do covid deaths have to be cremated ,-,Keyword Tool - Google Searches,29-Apr-20
does covid 19 cause a rash ,-,Keyword Tool - Google Searches,29-Apr-20
does covid 19 cause sore throat ,-,Keyword Tool - Google Searches,29-Apr-20
does covid 19 cause diarrhea ,-,Keyword Tool - Google Searches,29-Apr-20
does covid 19 cause vomiting ,-,Keyword Tool - Google Searches,29-Apr-20
