Question,Answer,Source,Date Retrieved
When will the COVID-19 virus end?,-,Quora,7-May-20
Is China lying about COVID-19?,-,Quora,7-May-20
What are the symptoms of COVID-19?,-,Quora,7-May-20
How is the new COVID-19 disease going to affect the world?,-,Quora,7-May-20
What does COVID-19 mean?,-,Quora,7-May-20
How dangerous is the COVID-19 coronavirus?,-,Quora,7-May-20
What are the positive impacts of the COVID-19 crisis?,-,Quora,7-May-20
Will we get through COVID-19 (coronavirus)?,-,Quora,7-May-20
How did the COVID-19 virus appear?,-,Quora,7-May-20
How do I keep safe from COVID-19?,-,Quora,7-May-20
What are some industries that will be completely changed or destroyed by COVID-19?,-,Quora,7-May-20
How has the coronavirus affected you?,-,Quora,7-May-20
What countries are still safe from COVID-19?,-,Quora,7-May-20
Will COVID-19 trigger a global recession?,-,Quora,7-May-20
Is there any cure for COVID-19?,-,Quora,7-May-20
What would you do if you found out you had COVID-19 (coronavirus)?,-,Quora,7-May-20
Are you afraid of the COVID-19 virus?,-,Quora,7-May-20
What is the impact of the coronavirus COVID-19 to your business?,-,Quora,7-May-20
Should China be held responsible for creating the COVID-19 panic in the world?,-,Quora,7-May-20
Is China really the origin of COVID-19?,-,Quora,7-May-20
Has chloroquine been found to be effective against COVID-19?,-,Quora,7-May-20
Is COVID-19 a pandemic?,-,Quora,7-May-20
What lessons will the world learn from COVID-19?,-,Quora,7-May-20
Which businesses took an unexpected hit because of covid-19?,-,Quora,7-May-20
Is COVID-19 likely to be at pandemic proportions for two years?,-,Quora,7-May-20
Is India in the stage 3 of COVID-19?,-,Quora,7-May-20
Are you panicking over the COVID-19 coronavirus?,-,Quora,7-May-20
How do you think China has recovered from Covid 19 so quickly while the rest of the world is struggling?,-,Quora,7-May-20
Which country is the most equipped to deal with COVID-19?,-,Quora,7-May-20
What are the conspiracy theories surrounding COVID-19?,-,Quora,7-May-20
What is a novel coronavirus? What is the COVID-19 virus?,-,Quora,7-May-20
Is it true that wearing face masks is useless in preventing the contraction of the COVID-19 virus because the virus is smaller than the filter in the mask?,-,Quora,7-May-20
What are the new things Covid19 has taught you?,-,Quora,7-May-20
What is the main cause of COVID-19?,-,Quora,7-May-20
"As a medical professional, what is your biggest concern about the COVID-19 coronavirus?",-,Quora,7-May-20
How long will it take for scientists to develop a vaccine to COVID-19?,-,Quora,7-May-20
Should China CDC (Center for Disease Control) be responsible for the outbreak of COVID-19 coronavirus?,-,Quora,7-May-20
What are the updates about the novel Coronavirus “COVID-19”?,-,Quora,7-May-20
"Is it true that even if you already had the COVID-19 coronavirus, you can get it again?",-,Quora,7-May-20
The USA is now #1 in new coronavirus cases. How does that make you feel?,-,Quora,7-May-20
How has COVID-19 affected your everyday life?,-,Quora,7-May-20
Why is there no vaccine for the COVID-19 virus?,-,Quora,7-May-20
How do I stop COVID 19?,-,Quora,7-May-20
How different is the Covid-19 from a common flu?,-,Quora,7-May-20
Will there be a second wave of the covid-19 infection?,-,Quora,7-May-20
How is COVID-19 tested?,-,Quora,7-May-20
Was the coronavirus COVID-19 predicted by anyone?,-,Quora,7-May-20
Who profits the most over concerns of COVID-19?,-,Quora,7-May-20
"As someone who lives in China, how do you feel they are combating COVID-19?",-,Quora,7-May-20
"Assuming COVID 19 is not over, will it end the world and humanity?",-,Quora,7-May-20
Why is Italy suffering from outbreak of COVID-19?,-,Quora,7-May-20
How soon will a vaccine for COVID-19 be ready?,-,Quora,7-May-20
Is COVID-19 real?,-,Quora,7-May-20
Why do people facing the COVID-19 crisis hoard toilet paper?,-,Quora,7-May-20
How is Trump mishandling the COVID-19 situation?,-,Quora,7-May-20
Why didn't God prevent the COVID-19 pandemic?,-,Quora,7-May-20
How is the COVID-19 virus more dangerous than the regular flu?,-,Quora,7-May-20
Do you think the Covid-19 outbreak is really serious?,-,Quora,7-May-20
Who is in charge for the Coronavirus COVID-19 outbreak?,-,Quora,7-May-20
How exactly did COVID-19 spread so quickly in Italy?,-,Quora,7-May-20
"Why is no country helping the USA with this Covid-19 while Russia and China are assisting the Philippines, Serbia, the Czech Republic, Italy, etc.?",-,Quora,7-May-20
Why do so many people believe there is a connection between COVID-19 and 5G technology?,-,Quora,7-May-20
"Is China being truthful about the number of deaths due to the coronavirus, or is it much higher?",-,Quora,7-May-20
Is CV-19 a man made virus?,-,Quora,7-May-20
What is the likely impact of COVID 19 on the US economy?,-,Quora,7-May-20
Why are so many people not taking the Covid-19 threat seriously?,-,Quora,7-May-20
Was COVID-19 created in a lab?,-,Quora,7-May-20
What are some tips to help prepare in the event that COVID-19 becomes a pandemic?,-,Quora,7-May-20
Can India shut out COVID-19?,-,Quora,7-May-20
Why do some people believe that COVID-19 is a bioweapon?,-,Quora,7-May-20
What should you do if you suspect you have COVID-19?,-,Quora,7-May-20
How has China gotten COVID-19 under control?,-,Quora,7-May-20
How is it that Japan has so little cases of Covid-19?,-,Quora,7-May-20
Which is the best business to start amidst Covid-19?,-,Quora,7-May-20
What is the current status of the COVID 19 vaccine?,-,Quora,7-May-20
How many deaths do you expect from the COVID-19 (Coronavirus) when the pandemic is finally over?,-,Quora,7-May-20
"For the sake of discussion, what do you think the chances are of COVID-19 being a biologically engineered weapon?",-,Quora,7-May-20
Will the vaccination developed for COVID-19 be mandatory?,-,Quora,7-May-20
"With the stock market down due to the COVID-19 coronavirus, is it a good time to buy or sell your stocks?",-,Quora,7-May-20
Do you know someone infected by the coronavirus (COVID-19)?,-,Quora,7-May-20
What are some sure shot ways of avoiding/preventing COVID-19 spread in India?,-,Quora,7-May-20
