Question,Answer,Source,Date Retrieved
How do I know if it is COVID-19 or just the common flu ,A COVID-19 infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type. ,United Nations,29-Apr-20
Can the virus that causes COVID-19 be transmitted through the air ,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air. ,United Nations,29-Apr-20
What can I do to protect myself and prevent the spread of disease ,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. ",United Nations,29-Apr-20
I am well and asymptomatic. Should I use a mask ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons.",United Nations,29-Apr-20
How likely am I to catch COVID-19 ,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. ",United Nations,29-Apr-20
Are pregnant women more susceptible to the COVID-19 virus and will it harm the fetus ,"We do not have information from published scientific reports about the susceptibility of pregnant women to COVID-19. Pregnant women experience immunologic and physiologic changes, which might make them more susceptible to viral respiratory infections, including COVID-19. ",United Nations,29-Apr-20
What is the risk of my child becoming sick with COVID-19 ,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. ",United Nations,29-Apr-20
Are the symptoms of COVID-19 different in children than in adults ,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. ",United Nations,29-Apr-20
Should I worry about COVID-19 ,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. ",United Nations,29-Apr-20
Who is at risk of developing severe illness ,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others. ",United Nations,29-Apr-20
Are there any medicines or therapies that can prevent or cure COVID-19 ,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. ",United Nations,29-Apr-20
"Is there a vaccine, drug or treatment for COVID-19 ","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. ",United Nations,29-Apr-20
Should I wear a mask to protect myself from catching the COVID-19 virus ,Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. ,United Nations,29-Apr-20
Until when should I wear a mask after recovering from an illness with respiratory symptoms ,"In order to avoid infecting others, you should use a mask for as long as you are still coughing or sneezing. You should only stop after a complete recovery (which means 24-48 hours after having no symptoms without medication). ",United Nations,29-Apr-20
How long is the incubation period for COVID-19 ,"Most estimates of the incubation period for COVID-19 range from 1- 14 days, most commonly around five days. ",United Nations,29-Apr-20
Can humans become infected with the COVID-19 from an animal source ,Possible animal sources of COVID-19 have not yet been confirmed. ,United Nations,29-Apr-20
How long does the virus survive on surfaces ,"Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment). ",United Nations,29-Apr-20
How can I get tested for COVID-19 ,"Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested. ",United Nations,29-Apr-20
What alternatives do I have if there are no hand sanitizers available,"If hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative. ",United Nations,29-Apr-20
Can people who recover from COVID-19 be infected again ,"We know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. However, because the immune response to COVID-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from COVID-19. ",United Nations,29-Apr-20
Is it safe to receive a package from an area where COVID-19 has been reported ,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low. ",United Nations,29-Apr-20
Is there a connection between COVID -19 and environment temperature ,"It is not known yet if weather and temperature changes impact or has any connection with COVID-19. At this time, it is not clear or known if the spread of COVID-19 will decrease when the weather becomes warmer. ",United Nations,29-Apr-20
"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close proximity to someone who doesn’t have respiratory symptoms ","Since the virus is transmitted through respiratory droplets, the risk of catching it from somebody who is asymptomatic, even a contact of a confirmed COVID-19 case, is low. ",United Nations,29-Apr-20
Should I start avoiding people of Asian descent and their businesses ,"The virus can affect anyone regardless of nationality, race and color. The Organization will not tolerate discrimination and encourages everyone to promote culturally appropriate and empathetic community engagement and to detect and rapidly respond to negative public perceptions and counter misinformation. ",United Nations,29-Apr-20
"When should we identify ourselves as ""being sick"" and stay at home ","Although a fever is a sure sign that you are sick enough not to come to work, anyone experiencing respiratory symptoms like coughing and sneezing should stay at home. ",United Nations,29-Apr-20
