Question,Answer,Source,Date Retrieved
Is public transport best avoided given the Covid-19 outbreak?,-,Yahoo Answers,7-May-20
Do you think protesting for Covid-19 quarantine is stupid?,-,Yahoo Answers,7-May-20
"Why do most of the big pandemics such as SARS, H1N1, and COVID-19 originate in China?",-,Yahoo Answers,7-May-20
Why covid killed more Christians compared to Muslims?,-,Yahoo Answers,7-May-20
"...about Muslim refugee camps - has anybody got any stats on Covid-19 deaths there? What about India, which is ...",-,Yahoo Answers,7-May-20
China Covid numbers?,-,Yahoo Answers,7-May-20
"Is COVID-19 having an effect on Japan's population decline, and if it is, how so?",-,Yahoo Answers,7-May-20
Would you rather have ebola or the ... CORONAVIRUS (COVID-19)?,-,Yahoo Answers,7-May-20
Is the occurence of COVID-19 considered very rare? ?,-,Yahoo Answers,7-May-20
Should I expect to lose family to COVID-19 in the coming few months when Maryland has it's surge?,-,Yahoo Answers,7-May-20
does pine sol disinfectant kill covid 19?,-,Yahoo Answers,7-May-20
Why are Black Americans dying in greater numbers from Covid-19?,-,Yahoo Answers,7-May-20
"Why are people believing the lies told to them from the mainstream news media about COVID-19, believing that they have to quarantine?",-,Yahoo Answers,7-May-20
With great respect: how many people do you personally know who have died from Covid-19?,-,Yahoo Answers,7-May-20
What do you think about conservative republicans who believe a COVID-19 vaccine with cause autism & infertility rates to skyrocket?,-,Yahoo Answers,7-May-20
"is it true that when they test for ""Corona Virus"" that they cannot specifically determine if it is ""Covid 19"" or not?",-,Yahoo Answers,7-May-20
How come COVID-19 is going to come back after it goes away for a time?,-,Yahoo Answers,7-May-20
Anyone with update on the clinical trial of COVID 19 in UK?,-,Yahoo Answers,7-May-20
is Bill Gates evil? why many think he is behind this Covid 19 crisis?,-,Yahoo Answers,7-May-20
How do I change my perspective and have a nice summer even though I may not be able to travel or have a family reunion cause of COVID-19?,-,Yahoo Answers,7-May-20
Who do you believe about using hydroxychloroquine to treat COVID-19?  Dr. D. Trump or the real doctors and scientists at our CDC?,-,Yahoo Answers,7-May-20
Will allowing restaurants to open back up in early May cause a resurgence in covid-19 cases?  ?,-,Yahoo Answers,7-May-20
If my sister who I am estranged from gets COVID-19 and dies what would I have to say at the funeral when I hate her?,-,Yahoo Answers,7-May-20
What is the official end date to COVID-19?,-,Yahoo Answers,7-May-20
Covid-19 are starting to kill Children and healthy people?,-,Yahoo Answers,7-May-20
Is COVID-19 even contagious?,-,Yahoo Answers,7-May-20
I have a sister who died of PMS complications 2 years ago. How would COVID-19 have affected her condition if it was around back then?,-,Yahoo Answers,7-May-20
Is COVID-19 your first experience with a pandemic?,-,Yahoo Answers,7-May-20
Has CNN been covering Trump and COVID-19 in a fair and balanced manner?,-,Yahoo Answers,7-May-20
Do you believe that acetaminophen could be the 'cure' for COVID-19?,-,Yahoo Answers,7-May-20
Republicons holding up bill to help with Covid-19 by packing it with ways to rip people off more IN A CRISIS. Are you angry or stupid?,-,Yahoo Answers,7-May-20
How does COVID-19 vary from COVID-18 or COVID-17?,-,Yahoo Answers,7-May-20
Will the NFL Season likely be changed due to COVID-19 or should it all be over by then?,-,Yahoo Answers,7-May-20
Would servants still be able to serve Prince Charles now that he is ill with Covid or is he isolated having to do without any servants ?,-,Yahoo Answers,7-May-20
"Is it risky for a 61-year-old woman to travel to Denver, CO from WY on a bus with all this COVID-19 fuss?",-,Yahoo Answers,7-May-20
Intelligence officials warned Trump about COVID-19 in January but they couldn't get him to do anything about it. Why did Trump fail to act?,-,Yahoo Answers,7-May-20
How old do I have to be to get Coronavirus? Does COVID-19 mean 19 years of age?,-,Yahoo Answers,7-May-20
What’s the difference between COVID-19 and allergies?,-,Yahoo Answers,7-May-20
Is New York City engaged in COVID-19 death money printing by making up cases to access more federal dollars?,-,Yahoo Answers,7-May-20
"Kim fires projectiles in the midst of tho COVID-19 crisis, what he wants to say?",-,Yahoo Answers,7-May-20
"There are countries and or societies that mainly eat pork, then their are beef eaters. is there a difference in the covid 19 death rate.?",-,Yahoo Answers,7-May-20
Did you have any close. Friends who died  from covt?,-,Yahoo Answers,7-May-20
Who invented COVID-19?,-,Yahoo Answers,7-May-20
What do you think about breeder who are having 'covid-19 parties'?,-,Yahoo Answers,7-May-20
Why is the case of Covid-19 very less in Asia as compere to Europe and the United States?,-,Yahoo Answers,7-May-20
Does Trump not understand Covid?,-,Yahoo Answers,7-May-20
Is COVID-19 bioterrorism?,-,Yahoo Answers,7-May-20
If u had covid 19?,-,Yahoo Answers,7-May-20
Does Covid 19 always accompany cough ? I feel weak probably from many allergies but no cough and no fever. but some night sweat.?,-,Yahoo Answers,7-May-20
Is COVID-19 worse then Swine Flu?,-,Yahoo Answers,7-May-20
Is COVID-19 worse than Spanish Flu?,-,Yahoo Answers,7-May-20
