Question,Answer,Source,Date Retrieved
are covid 19 tests available,-,Yahoo Autocomplete,4-May-20
are covid 19 survivors immune,-,Yahoo Autocomplete,4-May-20
are covid carriers contagious,-,Yahoo Autocomplete,4-May-20
are covid treatments working in nyc,-,Yahoo Autocomplete,4-May-20
are covid test accurate,-,Yahoo Autocomplete,4-May-20
are covid tests free,-,Yahoo Autocomplete,4-May-20
are covid 19 cases still rising in new york,-,Yahoo Autocomplete,4-May-20
are covid 19 test kits increasing,-,Yahoo Autocomplete,4-May-20
are covid 19 symptoms sudden,-,Yahoo Autocomplete,4-May-20
are covid tests reliable,-,Yahoo Autocomplete,4-May-20
can covid-19 be transmitted through food,-,Yahoo Autocomplete,4-May-20
can covid-19 live on surfaces,-,Yahoo Autocomplete,4-May-20
can covid 19 mutate,-,Yahoo Autocomplete,4-May-20
can covid 19 live in freezer,-,Yahoo Autocomplete,4-May-20
can covid 19 reinfect,-,Yahoo Autocomplete,4-May-20
can covid 19 live on paper,-,Yahoo Autocomplete,4-May-20
can covid 19 live on food,-,Yahoo Autocomplete,4-May-20
can covid 19 be sent through the mail,-,Yahoo Autocomplete,4-May-20
can  covid-19 cause diarrhea,-,Yahoo Autocomplete,4-May-20
can covid 19 live on clothes,-,Yahoo Autocomplete,4-May-20
did covid 19 come from bats,-,Yahoo Autocomplete,4-May-20
did covid 19 escape from a research lab,-,Yahoo Autocomplete,4-May-20
did covid 19 come from pangolin,-,Yahoo Autocomplete,4-May-20
did covid 19 come from a bat,-,Yahoo Autocomplete,4-May-20
did covid 19 start in usa,-,Yahoo Autocomplete,4-May-20
did covid 19 mutate,-,Yahoo Autocomplete,4-May-20
did covid 19 start with a bat,-,Yahoo Autocomplete,4-May-20
did covid 19 come from animals,-,Yahoo Autocomplete,4-May-20
did covid come from bats,-,Yahoo Autocomplete,4-May-20
did covid 19 infects infant,-,Yahoo Autocomplete,4-May-20
do covid 19 symptoms come and go,-,Yahoo Autocomplete,4-May-20
do covid masks have to be a specific material,-,Yahoo Autocomplete,4-May-20
do covid 19 patients always have a fever,-,Yahoo Autocomplete,4-May-20
do covid 19 symptoms come on quickly,-,Yahoo Autocomplete,4-May-20
do covid fevers come and go,-,Yahoo Autocomplete,4-May-20
do covid 19 symptoms include sore throat,-,Yahoo Autocomplete,4-May-20
do covid-19 patients have skin problems,-,Yahoo Autocomplete,4-May-20
do covid symptoms come and go,-,Yahoo Autocomplete,4-May-20
does covid 19 cause runny nose,-,Yahoo Autocomplete,4-May-20
does covid 19 give you a sore throat,-,Yahoo Autocomplete,4-May-20
does covid-19 cause diarrhea,-,Yahoo Autocomplete,4-May-20
does covid-19 die in heat,-,Yahoo Autocomplete,4-May-20
does covid 19 cause a rash,-,Yahoo Autocomplete,4-May-20
does covid 19 live on paper,-,Yahoo Autocomplete,4-May-20
does covid 19 always have a fever,-,Yahoo Autocomplete,4-May-20
does covid 19 cause nausea,-,Yahoo Autocomplete,4-May-20
does covid 19 cause permament lung damage,-,Yahoo Autocomplete,4-May-20
does covid 19 cause dizziness,-,Yahoo Autocomplete,4-May-20
has covid 19 mutated,-,Yahoo Autocomplete,4-May-20
has covid 19 been around for a while,-,Yahoo Autocomplete,4-May-20
has covid peaked in italy,-,Yahoo Autocomplete,4-May-20
has covid hit russia,-,Yahoo Autocomplete,4-May-20
has covid 19 been in the us since january,-,Yahoo Autocomplete,4-May-20
has covid mutated,-,Yahoo Autocomplete,4-May-20
has covid 19 always existed,-,Yahoo Autocomplete,4-May-20
has covid 19 reached hawaii,-,Yahoo Autocomplete,4-May-20
has covid peaked in washington,-,Yahoo Autocomplete,4-May-20
how covid 19 started,-,Yahoo Autocomplete,4-May-20
how covid-19 spreads,-,Yahoo Autocomplete,4-May-20
how covid- 19 kills,-,Yahoo Autocomplete,4-May-20
how covid spreads,-,Yahoo Autocomplete,4-May-20
how covid attacks lungs,-,Yahoo Autocomplete,4-May-20
how covid-19 affects the body,-,Yahoo Autocomplete,4-May-20
how covid 19 works,-,Yahoo Autocomplete,4-May-20
how covid kills,-,Yahoo Autocomplete,4-May-20
how covid 19 got its name,-,Yahoo Autocomplete,4-May-20
is covid 19 airborne,-,Yahoo Autocomplete,4-May-20
is covid-19 man-made,-,Yahoo Autocomplete,4-May-20
is covid 19 a hoax,-,Yahoo Autocomplete,4-May-20
is covid 19 worse than the flu,-,Yahoo Autocomplete,4-May-20
is covid 19 airborne or droplet,-,Yahoo Autocomplete,4-May-20
is covid 19 mutating,-,Yahoo Autocomplete,4-May-20
is covid 19 a bioweapon,-,Yahoo Autocomplete,4-May-20
is covid-19 seasonal,-,Yahoo Autocomplete,4-May-20
