Question	Answer	Source	Date Retrieved
are covid cases declining	-	Keyword Tools - Bing	3-May-20
are covid numbers increasing	-	Keyword Tools - Bing	3-May-20
are covid tests available	-	Keyword Tools - Bing	3-May-20
are covid cases decreasing	-	Keyword Tools - Bing	3-May-20
are covid tests reliable	-	Keyword Tools - Bing	3-May-20
can covid live on surfaces	-	Keyword Tools - Bing	3-May-20
can covid mutate	-	Keyword Tools - Bing	3-May-20
can covid live on food	-	Keyword Tools - Bing	3-May-20
can covid be cured	-	Keyword Tools - Bing	3-May-20
can covid survive cold	-	Keyword Tools - Bing	3-May-20
did covid come from bats	-	Keyword Tools - Bing	3-May-20
did covid start in a lab	-	Keyword Tools - Bing	3-May-20
did covid come from america	-	Keyword Tools - Bing	3-May-20
did covid peak	-	Keyword Tools - Bing	3-May-20
did covid mutate	-	Keyword Tools - Bing	3-May-20
do covid patients need blood	-	Keyword Tools - Bing	3-May-20
do covid symptoms come on fast	-	Keyword Tools - Bing	3-May-20
do covid have a cure	-	Keyword Tools - Bing	3-May-20
do covid patients on ventilators recover	-	Keyword Tools - Bing	3-May-20
do covid symptoms always include fever	-	Keyword Tools - Bing	3-May-20
does covid live on surfaces	-	Keyword Tools - Bing	3-May-20
does covid kill animals	-	Keyword Tools - Bing	3-May-20
does covid cause permanent lung damage	-	Keyword Tools - Bing	3-May-20
does covid survive freezing	-	Keyword Tools - Bing	3-May-20
does covid cause diarrhea	-	Keyword Tools - Bing	3-May-20
had covid in january	-	Keyword Tools - Bing	3-May-20
had covid mutated	-	Keyword Tools - Bing	3-May-20
had covid in november	-	Keyword Tools - Bing	3-May-20
had covid and recovered	-	Keyword Tools - Bing	3-May-20
have covid	-	Keyword Tools - Bing	3-May-20
have covid cases peaked	-	Keyword Tools - Bing	3-May-20
have covid checks been sent	-	Keyword Tools - Bing	3-May-20
have covid with no symptoms	-	Keyword Tools - Bing	3-May-20
have covid cases increased in china	-	Keyword Tools - Bing	3-May-20
how covid kills	-	Keyword Tools - Bing	3-May-20
how covid spreads	-	Keyword Tools - Bing	3-May-20
how covid spreads	-	Keyword Tools - Bing	3-May-20
how covid started	-	Keyword Tools - Bing	3-May-20
how covid kills	-	Keyword Tools - Bing	3-May-20
is covid airborne	-	Keyword Tools - Bing	3-May-20
is covid airborne	-	Keyword Tools - Bing	3-May-20
what is covid	-	Keyword Tools - Bing	3-May-20
should covid be capitalized	-	Keyword Tools - Bing	3-May-20
should covid be all caps	-	Keyword Tools - Bing	3-May-20
should covid patients take advil	-	Keyword Tools - Bing	3-May-20
should covid patients take ibuprofen	-	Keyword Tools - Bing	3-May-20
should covid patients avoid ibuprofen	-	Keyword Tools - Bing	3-May-20
was covid engineered	-	Keyword Tools - Bing	3-May-20
was covid predicted	-	Keyword Tools - Bing	3-May-20
was covid man made	-	Keyword Tools - Bing	3-May-20
was covid engineered	-	Keyword Tools - Bing	3-May-20
was covid manufactured	-	Keyword Tools - Bing	3-May-20
what covid	-	Keyword Tools - Bing	3-May-20
what covid stand for	-	Keyword Tools - Bing	3-May-20
what covid feels like	-	Keyword Tools - Bing	3-May-20
what covid feels like	-	Keyword Tools - Bing	3-May-20
what covid means	-	Keyword Tools - Bing	3-May-20
when covid end	-	Keyword Tools - Bing	3-May-20
when covid start	-	Keyword Tools - Bing	3-May-20
when covid start	-	Keyword Tools - Bing	3-May-20
when covid checks	-	Keyword Tools - Bing	3-May-20
when covid will end	-	Keyword Tools - Bing	3-May-20
where covid started	-	Keyword Tools - Bing	3-May-20
where covid start	-	Keyword Tools - Bing	3-May-20
where covid originated	-	Keyword Tools - Bing	3-May-20
where covid came from	-	Keyword Tools - Bing	3-May-20
where covid originate	-	Keyword Tools - Bing	3-May-20
which covid is sars	-	Keyword Tools - Bing	3-May-20
which covid start	-	Keyword Tools - Bing	3-May-20
which covid mask works	-	Keyword Tools - Bing	3-May-20
which covid symptoms appear first	-	Keyword Tools - Bing	3-May-20
which covid symptoms come first	-	Keyword Tools - Bing	3-May-20
who covid	-	Keyword Tools - Bing	3-May-20
who covid	-	Keyword Tools - Bing	3-May-20
who covid dashboard	-	Keyword Tools - Bing	3-May-20
who covid	-	Keyword Tools - Bing	3-May-20
who covid pandemic	-	Keyword Tools - Bing	3-May-20
who's covid solidarity response fund	-	Keyword Tools - Bing	3-May-20
who is covid killing	-	Keyword Tools - Bing	3-May-20
who is covid patient 0	-	Keyword Tools - Bing	3-May-20
why covid	-	Keyword Tools - Bing	3-May-20
why covid	-	Keyword Tools - Bing	3-May-20
why covid	-	Keyword Tools - Bing	3-May-20
why covid dangerous	-	Keyword Tools - Bing	3-May-20
why covid so dangerous	-	Keyword Tools - Bing	3-May-20
will covid disappear	-	Keyword Tools - Bing	3-May-20
will covid end the world	-	Keyword Tools - Bing	3-May-20
will covid ever end	-	Keyword Tools - Bing	3-May-20
will covid ever end	-	Keyword Tools - Bing	3-May-20
will covid return next year	-	Keyword Tools - Bing	3-May-20
would microwave kill covid	-	Keyword Tools - Bing	3-May-20
