Question	Answer	Source	Date Accessed
When was the Middle East Respiratory Syndrome covid isolated first	"(MERS-CoV) was first isolated in 2012, in a 60-year-old man who died in Jeddah, KSA due to severe acute pneumonia and multiple organ failure"	GitHub COVID-QA Dataset	27-Apr-20
Which medical comorbidities most profoundly influenced MERS-CoV outcomes	"if they were obese, immunocompromised, diabetic or had cardiac disease"	GitHub COVID-QA Dataset	27-Apr-20
What is the size of bovine covid	31 kb	GitHub COVID-QA Dataset	27-Apr-20
What is the estimated R0 of covid	2.2	GitHub COVID-QA Dataset	27-Apr-20
What is the relationship between SARS-CoV and acute lung injury (ALI)	Many infected patients have acute lung injury (ALI)	GitHub COVID-QA Dataset	27-Apr-20
What is the relationship between the presence of virus in anal swabs and disease severity in covid	"In the anal swab cohort (Figure 1 (B)), 11 of 28 cases were detected to be anal swab positive, 8 of them (72.7%) were with severe symptoms, which was significantly higher than that 4 (23.5%) of the rest 17 cases without detectable virus in anal were severe cases"	GitHub COVID-QA Dataset	27-Apr-20
What is a key assumption of a semi-mechanistic Bayesian hierarchical model used for covid	"each intervention has the same effect on the
reproduction number across countries and over time"	GitHub COVID-QA Dataset	27-Apr-20
What is the genus of the SARS covid	Betacovid	GitHub COVID-QA Dataset	27-Apr-20
What will be the drug of choice for treating covid between Chloroquine and Remdesivir	" two potential drugs, CQ appears to be the drug of choice for large-scale use due to its availability, proven safety record, and a relatively low cost."	GitHub COVID-QA Dataset	27-Apr-20
What was the read coverage for the E-30 genome in this study	260-fold	GitHub COVID-QA Dataset	27-Apr-20
What is important for understanding the origin and evolution of this novel lineage B betacovid	"Learning from the roles of civet in SARS and camel in MERS, hunting for the animal source of covid and its more ancestral virus"	GitHub COVID-QA Dataset	27-Apr-20
Why might we underestimate the spread of covid	"limited information available regarding incubation time, transmissibility, and virus origin"	GitHub COVID-QA Dataset	27-Apr-20
What could be the implication of covid virus in anal swabs	digestive tract might be one extrapulmonary site for virus replication	GitHub COVID-QA Dataset	27-Apr-20
What is the relation between the new covid and the conserved orf8	the new covid orf8 is distant from the conserved orf8 	GitHub COVID-QA Dataset	27-Apr-20
Where does the NLRP3 inflammasome activate after a SARS-CoV infection	in lipopolysaccharide-primed macrophages	GitHub COVID-QA Dataset	27-Apr-20
What was the fatality rate of the SARS covid outbreak between November 2002 and July 2003	9.60%	GitHub COVID-QA Dataset	27-Apr-20
How many nucleotides does bovine covid contain	"30,847 nucleotides"	GitHub COVID-QA Dataset	27-Apr-20
In vitro comparison of antiviral activity of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against covid	"compare the antiviral activity of CQ versus HCQ, the dose-response curves"	GitHub COVID-QA Dataset	27-Apr-20
What was a characteristic of SARS-CoV and MERS-CoV specimens collected from the lower respiratory tract such as sputum and tracheal aspirates	have higher and more prolonged levels of viral RNA because of the tropism of the virus. 	GitHub COVID-QA Dataset	27-Apr-20
Why is there no credible evidence to support the claim that the covid is derived from the chimeric SL-SHC014-MA15 virus	"upon careful phylogenetic analyses by multiple international groups [5, 14] , the covid is undoubtedly distinct from SL-SHC014-MA15, with >6,000 nucleotide differences across the whole genome."	GitHub COVID-QA Dataset	27-Apr-20
What animals can carry covid	"uding birds, farm animals, pets, camels, an"	GitHub COVID-QA Dataset	27-Apr-20
What COVs were known to infect humans before December 2019	"6 CoVs were known to infect human, including 2 αCoV (HCoV-229E and HKU-NL63) and 4 βCoV (HCoV-OC43 [ "	GitHub COVID-QA Dataset	27-Apr-20
What's the recommended method to disinfect floors for covid	"The ground is wiped with 1000mg/L chlorine-containing
disinfectant, once /4 hours."	GitHub COVID-QA Dataset	27-Apr-20
How long is the incubation time for covid	between 2 and 14 days	GitHub COVID-QA Dataset	27-Apr-20
What illness is caused by the covid covid	The novel covid (covid) infection caused pneumonia. 	GitHub COVID-QA Dataset	27-Apr-20
What does the orf8 derived from covid belong to	the group that includes the closest genome sequences of bat SARS-related-CoV ZXC21 and ZC45. 	GitHub COVID-QA Dataset	27-Apr-20
What are the steps that a hospital should take after covid outbreak	covid patients should be admitted	GitHub COVID-QA Dataset	27-Apr-20
What is the conclusion of the covid long-term surveillance studies	Rhinolophus bats seem to harbor a wide diversity of CoVs	GitHub COVID-QA Dataset	27-Apr-20
What percentage of people infected with MERS-CoV died	35-50%	GitHub COVID-QA Dataset	27-Apr-20
How many COVID deaths occurred in Chinese mainland as of March 11th	"3,169"	GitHub COVID-QA Dataset	27-Apr-20
What other tests should be considered for covid epidemiology	serology should be considered for covid epidemiology.	GitHub COVID-QA Dataset	27-Apr-20
What viruses are similar to the covid	GitHub COVID-QA Dataset	27-Apr-20
What tests should be done before a covid infected patient is discharged	"we cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. Above all, we strongly suggest using viral IgM and IgG serological test to confirm an infection, considering the unreliable results from oral swabs detection"	GitHub COVID-QA Dataset	27-Apr-20
