Question	Answer	Source	Date Retrieved
What is covid disease 2019	covid disease 2019 (covid) is a respiratory illness that can spread from person to person. 	Food and Drug Administration	28-Apr-20
How can I prevent covid	The best way to prevent illness is to avoid being exposed to the virus. 	Food and Drug Administration	28-Apr-20
Should I wear a face covering or face mask when I go out in public	"A: CDC recommends wearing cloth face coverings in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community-based transmission of the covid. "	Food and Drug Administration	28-Apr-20
What treatments are available for covid	People with covid should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. 	Food and Drug Administration	28-Apr-20
"Can disinfectant sprays or wipes be used on my skin injected inhaled or ingested to prevent or treat covid"	"A: No. Always follow the instructions on household cleaners. Disinfectant sprays or wipes are intended for use on hard, non-porous surfaces. Disinfectant sprays or wipes are not intended for use on humans or animals. Do not use disinfectant sprays or wipes on your skin because they may cause skin and eye irritation. Do not inject, inhale, or ingest disinfectant sprays or household cleaners; doing so is dangerous and may cause serious harm or death. If ingested, call poison control or a medical professional immediately. "	Food and Drug Administration	28-Apr-20
Where can I buy hand sanitizer	Many retail stores and pharmacies sell hand sanitizers. 	Food and Drug Administration	28-Apr-20
"If I can't find hand sanitizer in the store can I make my own"	The FDA does not recommend that consumers make their own hand sanitizer. 	Food and Drug Administration	28-Apr-20
What do I do if I get a rash or other reaction to hand sanitizer	Call your doctor if you experience a serious reaction to hand sanitizer. FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA’s MedWatch Adverse Event Reporting program.	Food and Drug Administration	28-Apr-20
Where can I report websites selling fraudulent medical products	"You can report websites selling fraudulent medical products to the FDA through our website, by phone, or mail."	Food and Drug Administration	28-Apr-20
Am I at risk for serious complications from covid if I smoke cigarettes	Smoking cigarettes can leave you more vulnerable to respiratory illnesses such as covid. Smoking cigarettes is known to cause heart and lung disease and people with underlying heart and lung problems may have increased risk for serious complications from covid.	Food and Drug Administration	28-Apr-20
If I vape tobacco or nicotine am I at risk for complications from covid	"E-cigarette use can expose the lungs to toxic chemicals, but whether those exposures increase the risk of covid or the severity of covid outcomes is not known."	Food and Drug Administration	28-Apr-20
What is a biological medical product or a biologic	"Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues. "	Food and Drug Administration	28-Apr-20
Are there any vaccines or other medical products to prevent covid	At this time there is no vaccine to prevent covid disease 2019 (covid).	Food and Drug Administration	28-Apr-20
Does covid present a risk to the safety of the nation’s blood supply	"In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted covid. "	Food and Drug Administration	28-Apr-20
"What steps are being taken to protect the U.S. blood supply from the virus that causes covid"	Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. 	Food and Drug Administration	28-Apr-20
Why aren’t blood centers testing donors for covid	"Someone who has symptoms of covid, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. "	Food and Drug Administration	28-Apr-20
Is it safe for me to donate blood during the covid pandemic	"If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment."	Food and Drug Administration	28-Apr-20
"Can covid be transmitted through human cells tissues or cellular and tissue based products (HCT/Ps)"	"Respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue-based products (HCT/Ps). "	Food and Drug Administration	28-Apr-20
What is convalescent plasma	"Convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel covid disease, covid, caused by the virus covid. "	Food and Drug Administration	28-Apr-20
Why is convalescent plasma being investigated to treat covid	Convalescent plasma is being investigated for the treatment of covid because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from covid. 	Food and Drug Administration	28-Apr-20
"can I donate convalescent plasma"	covid convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. Individuals must have had a prior diagnosis of COVID- 19 documented by a laboratory test and meet other laboratory criteria. 	Food and Drug Administration	28-Apr-20
Are there any FDA-approved drug products or medicines to treat covid	"At this time, there are no FDA-approved drug products to treat covid. "	Food and Drug Administration	28-Apr-20
Are antibiotics effective in preventing or treating covid	"No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat covid disease (covid), because covid is caused by a virus, not bacteria."	Food and Drug Administration	28-Apr-20
Will Miracle Mineral Solution (MMS) cure covid	No. Miracle Mineral Solution does not cure covid and has not been approved by the FDA for any use. 	Food and Drug Administration	28-Apr-20
Are chloroquine phosphate or hydroxychloroquine sulfate approved by the FDA to treat covid	No. Hydroxychloroquine sulfate and some versions of chloroquine phosphate are FDA-approved to treat malaria. 	Food and Drug Administration	28-Apr-20
May health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off-label to treat patients with covid	"Chloroquine phosphate is only approved for the treatment of malaria, and hydroxychloroquine sulfate is only approved for the treatment of malaria, lupus, and rheumatoid arthritis. "	Food and Drug Administration	28-Apr-20
Are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid	"In the lab, these drugs have been shown to prevent the growth of the virus that causes covid. There are a few reports of patients with covid who received these drugs and improved. Some are reports of groups of patients, all of whom received the drug. It is not known whether it was the drug that led to the improvement or whether there were other factors involved. "	Food and Drug Administration	28-Apr-20
Should I take ivermectin to prevent or treat covid	"No. While there are approved uses for ivermectin in people and animals, it is not approved for the prevention or treatment of covid. "	Food and Drug Administration	28-Apr-20
What is the FDA doing to protect people from fraudulent covid products	We have established a cross-agency task force dedicated to closely monitoring for fraudulent covid products. 	Food and Drug Administration	28-Apr-20
Are there going to be drug shortages due to drug manufacturer facility closures in China	"The FDA has been closely monitoring the supply chain with the expectation that the covid outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the U.S."	Food and Drug Administration	28-Apr-20
Am I at risk for covid from taking FDA-approved drugs made in China	"Currently, there is no evidence to support transmission of covid associated with imported goods, including food and drugs for humans and pets. "	Food and Drug Administration	28-Apr-20
Who should I contact with drug-related questions	"If you have additional questions, call FDA’s Division of Drug Information at (855) 543-3784 or email us at druginfo@fda.hhs.gov (mailto:druginfo@fda.hhs.gov). "	Food and Drug Administration	28-Apr-20
Is there a test for covid	"Yes, there are tests for covid. "	Food and Drug Administration	28-Apr-20
How are people tested for covid	"To be tested for covid, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals."	Food and Drug Administration	28-Apr-20
Are there any tests that I can purchase to test myself at home for covid	"At this time, the FDA has not authorized any covid test to be completely used and processed at home. "	Food and Drug Administration	28-Apr-20
"If antibody tests are not used for diagnosis or exclusion of covid infection what is their purpose"	"Antibody tests cannot be used alone to rule out covid. However, they can serve an important role. Using antibody tests on many patients may help the medical community better understand the immune response in patients over time and how many people may have been infected."	Food and Drug Administration	28-Apr-20
Should I purchase personal protective equipment for me and my family	": No. Surgical masks and N95s need to be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring covid. "	Food and Drug Administration	28-Apr-20
"Is there a shortage of personal protective equipment or of ventilators"	The agency is also aware of challenges throughout the supply chain that are presently impacting the availability of PPE products and is taking steps to mitigate shortages that health care facilities are already experiencing. 	Food and Drug Administration	28-Apr-20
Can 3D printing be used to make PPE	"While it is possible to use 3D printing to make certain PPE, there are technical challenges. 3D-printed PPE may provide a physical barrier, but 3D-printed PPE are unlikely to provide the same fluid barrier and air filtration protection as FDA-cleared surgical masks and N95 respirators"	Food and Drug Administration	28-Apr-20
Who should I contact if I have questions about medical devices or need more information	Please contact the FDA’s Center for Devices and Radiological Health (CDRH)’s Division of Industry and Consumer Education (DICE) for general questions and information.	Food and Drug Administration	28-Apr-20
Will there be food shortages	"There are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. "	Food and Drug Administration	28-Apr-20
Will there be animal food shortages	"There are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock."	Food and Drug Administration	28-Apr-20
What are the most important things I need to know to keep myself and others safe when I go to the grocery store during the pandemic	"There are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket. "	Food and Drug Administration	28-Apr-20
Are food products produced in the United States or other countries affected by covid a risk for the spread of covid	There is no evidence to suggest that food produced in the United States or imported from countries affected by covid can transmit covid. 	Food and Drug Administration	28-Apr-20
"Can I get the covid from food food packaging or food containers and preparation area"	": Currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. Like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. "	Food and Drug Administration	28-Apr-20
Is the U.S. food supply safe	Currently there is no evidence of food or food packaging being associated with transmission of covid. 	Food and Drug Administration	28-Apr-20
Is the U.S. animal food supply safe	Currently there is no evidence of animal food or food packaging being associated with transmission of covid. 	Food and Drug Administration	28-Apr-20
Can I get covid from a food worker handling my food	"Currently, there is no evidence of food or food packaging being associated with transmission of covid. "	Food and Drug Administration	28-Apr-20
Should food workers who are ill stay home	"CDC recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4° F [37.8° C] or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines (e.g. cough suppressants). "	Food and Drug Administration	28-Apr-20
"Should food facilities perform any special cleaning or sanitation procedures for covid"	"CDC recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs. "	Food and Drug Administration	28-Apr-20
Can I get covid from my pet or other animals	There is currently no evidence that animals are a source of covid infection in the United States. 	Food and Drug Administration	28-Apr-20
Is there a test for covid in pets	"Certain veterinary diagnostic laboratories have developed diagnostic tests for SARS- CoV-2, the virus that causes covid, for use in pets if needed. "	Food and Drug Administration	28-Apr-20
Should I get my pet tested for covid	Routine testing of pets for covid is not recommended at this time.	Food and Drug Administration	28-Apr-20
What animal species can get covid	"We currently don’t fully understand how covid affects different animal species. We are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes covid after close contact with people with covid."	Food and Drug Administration	28-Apr-20
Are there any approved products that can prevent or treat covid in animals	"No. Under the Federal Food, Drug, and Cosmetic (FD&C) Act, “articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals” are drugs. The FDA has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of covid in animals. "	Food and Drug Administration	28-Apr-20
"Is it true that animals get their own different types of covid"	"Yes. covides are a large family of viruses. Some covides like covid cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some covides, such as canine and feline covides, only infect animals and do not infect humans. "	Food and Drug Administration	28-Apr-20
"If my pet previously had a species-specific covid does that make them more or less likely to get covid"	There are no data to suggest that current or previous infection with another strain of covid would make your pet more or less likely to get covid. 	Food and Drug Administration	28-Apr-20
"If my pet has been vaccinated for species-specific covid does that make them more or less likely to get covid"	: Species-specific covid vaccines are unlikely to work against this type of covid because it is a new virus that is different from the species-specific strains of covid targeted by the vaccine. 	Food and Drug Administration	28-Apr-20
Is it safe to adopt pets from a shelter or rescue 	"There is no reason to think that any animals, including shelter or rescue pets, in the United States, might be a source of covid. "	Food and Drug Administration	28-Apr-20
Are there going to be any animal drug shortages due to the covid outbreak	The FDA has been and is continuing to closely monitor how the covid outbreak may impact the animal medical product supply chain. 	Food and Drug Administration	28-Apr-20
