Question	Answer	Source	Date Retrieved
do I have to pay to get tested for covid	-	Author Generated	-
will I be charged for a covid test	-	Author Generated	-
how much does a covid test cost	-	Author Generated	-
is there a fee to be tested for covid	-	Author Generated	-
can covid spread through water	-	Author Generated	-
is it possible for water to transmit covid	-	Author Generated	-
can I get covid from water	-	Author Generated	-
is it possible to get covid from mosquitoes	-	Author Generated	-
will mosquitoes give me covid	-	Author Generated	-
how likely am I to get covid from mosquitoes	-	Author Generated	-
do covid patients get strokes	-	Author Generated	-
can you have a stroke because of covid	-	Author Generated	-
is it possible to get a stroke from covid	-	Author Generated	-
if I have covid will I have a stroke	-	Author Generated	-
where was covid found	-	Author Generated	-
how long has covid existed	-	Author Generated	-
how does covid cause death	-	Author Generated	-
what are the ways that covid can kill people	-	Author Generated	-
how did covid begin	-	Author Generated	-
how did covid come to be	-	Author Generated	-
how covid began	-	Author Generated	-
how did covid get started	-	Author Generated	-
when would covid be considered a pandemic	-	Author Generated	-
what is a pandemic	-	Author Generated	-
is there a difference between covid being an epidemic and a pandemic	-	Author Generated	-
why is covid a pandemic	-	Author Generated	-
is there a reason that covid is called a pandemic now	-	Author Generated	-
do you need help breathing if you have covid	-	Author Generated	-
is covid survivable without ventilators	-	Author Generated	-
can a dead covid patient infect me	-	Author Generated	-
is it possible to get covid from someone who died of covid	-	Author Generated	-
can covid be transmitted after death	-	Author Generated	-
are dead covid patients still contagious	-	Author Generated	-
how long ago was covid first found	-	Author Generated	-
what is the start date of covid	-	Author Generated	-
are we still waiting for a vaccine for covid	-	Author Generated	-
has someone made a vaccine for covid yet	-	Author Generated	-
what is the most reliable covid model right now	-	Author Generated	-
which covid model can we trust	-	Author Generated	-
whats the best covid model	-	Author Generated	-
which covid model should be used	-	Author Generated	-
what is the point of testing people for covid	-	Author Generated	-
do covid tests help	-	Author Generated	-
why are we testing for covid	-	Author Generated	-
why does the us have so many infections	-	Author Generated	-
why have so many people died from covid in the us	-	Author Generated	-
for what reasons is the us handling the pandemic so poorly	-	Author Generated	-
how come the us is hit so bad by covid	-	Author Generated	-
what are the chances that covid will hit again	-	Author Generated	-
can covid return after lockdown is lifted	-	Author Generated	-
is it possible for covid to come again	-	Author Generated	-
what is the current number of deaths due to covid	-	Author Generated	-
am I guaranteed to die if I have covid	-	Author Generated	-
is it possible to cure covid	-	Author Generated	-
what is the scientifically accurate way to write covid	-	Author Generated	-
am I wrong to capitalize covid	-	Author Generated	-
is covid supposed to be uppercase	-	Author Generated	-
can homemade hand sanitizer replace real hand sanitizer	-	Author Generated	-
is diy hand sanitizer useful	-	Author Generated	-
is it safe to go shopping	-	Author Generated	-
will I get covid if I go to the store	-	Author Generated	-
is it okay to go buy groceries	-	Author Generated	-
how risky is it to go on vacation	-	Author Generated	-
will I get covid if I go on a trip	-	Author Generated	-
is it safe to go on vacation	-	Author Generated	-
can I still travel	-	Author Generated	-
is it possible to be infected by an asymptomatic person	-	Author Generated	-
am I allowed to go out	-	Author Generated	-
is it risky to leave my house to exercise	-	Author Generated	-
should i get out of the house	-	Author Generated	-
will I get covid if I go outside	-	Author Generated	-
is there a treatment for covid yet	-	Author Generated	-
is there a way to get rid of covid after being infected	-	Author Generated	-
is covid curable	-	Author Generated	-
how can covid patients be treated	-	Author Generated	-
has a treatment been released to treat covid	-	Author Generated	-
are there any specific procedures for hospitals to follow	-	Author Generated	-
how should medical centers respond to a covid patient	-	Author Generated	-
do hospitals have special steps for covid patients	-	Author Generated	-
how are hospitals dealing with covid	-	Author Generated	-
is there a way to not get covid	-	Author Generated	-
how is covid prevented	-	Author Generated	-
what is covids incubation period	-	Author Generated	-
do we know how long covid incubates	-	Author Generated	-
how long does it take for infected people to show symptoms	-	Author Generated	-
what is the maximum time that someone can have covid without symptoms	-	Author Generated	-
is there a way to kill covid without hand sanitizer	-	Author Generated	-
how do I disinfect if I dont have hand sanitizer	-	Author Generated	-
can I kill covid without hand sanitizer	-	Author Generated	-
other than hand sanitizer how can I protect myself from covid	-	Author Generated	-
is it possible to disinfect surfaces with alternative disinfection methods	-	Author Generated	-
will alternative disinfection work against covid	-	Author Generated	-
are there ways other than hand sanitizer and soap to kill covid	-	Author Generated	-
if i have recovered from covid will i be immune to it	-	Author Generated	-
how do I know if I should stop going to work	-	Author Generated	-
is it still safe to work	-	Author Generated	-
can I still go to work	-	Author Generated	-
is it true that I can get rid of covid by drinking cleaners	-	Author Generated	-
can disinfectant sprays cure me if I have covid	-	Author Generated	-
should I ingest disinfectant to cure covid	-	Author Generated	-
how are blood donors being screened	-	Author Generated	-
can I get infected from donated blood	-	Author Generated	-
is it dangerous to get donated blood	-	Author Generated	-
is it possible for donated blood to spread covid	-	Author Generated	-
