Question	Answer	Source	Date Retrieved
What is 2019 Novel covid	" covid is a new disease, caused by a novel (or new) covid not previously seen in humans."	Illinois Department of Public Health	28-Apr-20
What is the source of the virus	"Early on, many of the patients at the epicenter of the covid outbreak in China had some link to a large seafood and live animal market, suggesting animal-to-person spread."	Illinois Department of Public Health	28-Apr-20
What does it mean that covid is a Global Pandemic	A pandemic is a global outbreak of disease. Pandemics happen when a new virus emerges to infect people and can spread between people. 	Illinois Department of Public Health	28-Apr-20
What are the symptoms of COVID-2019	"People who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2-14 days after exposure."	Illinois Department of Public Health	28-Apr-20
How does covid spread	 Human covides typically spread through the air by coughing and sneezing.	Illinois Department of Public Health	28-Apr-20
How is covid diagnosed	" There are many tests being used to diagnose covid that the U.S. Food & Drug Administration (FDA) has authorized for use during the current emergency. All of these diagnostic tests identify the virus in samples from the respiratory system, such as from nasal or nasopharyngeal swabs"	Illinois Department of Public Health	28-Apr-20
Can someone spread the virus without being sick	Some spread might be possible before people show symptoms. 	Illinois Department of Public Health	28-Apr-20
What does the Governor’s stay at home order mean	"A stay at home order directs Illinoisans to stop movements outside of their homes beyond essential needs. By limiting social interactions, the chance of spreading covid is greatly reduced."	Illinois Department of Public Health	28-Apr-20
What is social distancing	Social distancing is deliberately increasing the physical space between people to avoid spreading illness.	Illinois Department of Public Health	28-Apr-20
Can I go outdoors	"Yes, go outdoors for fresh air and exercise. Ride a bike, walk the dog, go for a hike, jog. Social distancing does not mean staying indoors, it means avoiding close contact with people."	Illinois Department of Public Health	28-Apr-20
Can I go to the supermarket	Yes. Buy as much as you need to lessen the number of trips and try and shop when the store is least likely to be crowded.	Illinois Department of Public Health	28-Apr-20
Should I wear a facemask	Cover your mouth and nose with a cloth face cover when around others.	Illinois Department of Public Health	28-Apr-20
What steps should parents take to protect children	Discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of covid in the community. Encourage frequent handwashing and follow other prevention tips.	Illinois Department of Public Health	28-Apr-20
Who is at higher risk	Older adults and people of any age who have serious underlying medical conditions may be at higher risk for more serious complications from covid.	Illinois Department of Public Health	28-Apr-20
Should I clean “high touch” surfaces	"Clean and disinfect frequently touched surfaces, such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets and sinks. "	Illinois Department of Public Health	28-Apr-20
Is there a vaccine	"No. Currently, there is not a vaccine for covid."	Illinois Department of Public Health	28-Apr-20
What are the treatments for covid	"Currently, there are no specific treatments recommended for illnesses caused by covid. Medical care is supportive to help relieve symptoms."	Illinois Department of Public Health	28-Apr-20
Can I get covid from my pet	"Currently, there is no evidence that animals play a significant role in spreading the virus that causes covid. Based on the limited information available to date, the risk of animals spreading covid to people is considered to be low. "	Illinois Department of Public Health	28-Apr-20
Can animals carry the virus that causes covid on their skin or fur	"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes covid, can spread to people from the skin, fur, or hair of pets."	Illinois Department of Public Health	28-Apr-20
"What should health care providers laboratories and health departments do"	Health care providers and laboratories should report suspect covid cases immediately (within 3 hours) to their local health department.	Illinois Department of Public Health	28-Apr-20
