Question	Answer	Source	Date Retrieved
When will the covid virus end	-	Quora	7-May-20
Is China lying about covid	-	Quora	7-May-20
What are the symptoms of covid	-	Quora	7-May-20
How is the new covid disease going to affect the world	-	Quora	7-May-20
What does covid mean	-	Quora	7-May-20
How dangerous is the covid	-	Quora	7-May-20
What are the positive impacts of the covid crisis	-	Quora	7-May-20
Will we get through covid	-	Quora	7-May-20
How did the covid virus appear	-	Quora	7-May-20
How do I keep safe from covid	-	Quora	7-May-20
What are some industries that will be completely changed or destroyed by covid	-	Quora	7-May-20
How has the covid affected you	-	Quora	7-May-20
What countries are still safe from covid	-	Quora	7-May-20
Will covid trigger a global recession	-	Quora	7-May-20
Is there any cure for covid	-	Quora	7-May-20
What would you do if you found out you had covid	-	Quora	7-May-20
Are you afraid of the covid virus	-	Quora	7-May-20
What is the impact of covid to your business	-	Quora	7-May-20
Should China be held responsible for creating the covid panic in the world	-	Quora	7-May-20
Is China really the origin of covid	-	Quora	7-May-20
Has chloroquine been found to be effective against covid	-	Quora	7-May-20
Is covid a pandemic	-	Quora	7-May-20
What lessons will the world learn from covid	-	Quora	7-May-20
Which businesses took an unexpected hit because of covid	-	Quora	7-May-20
Is covid likely to be at pandemic proportions for two years	-	Quora	7-May-20
Are you panicking over the covid	-	Quora	7-May-20
How do you think China has recovered from covid so quickly while the rest of the world is struggling	-	Quora	7-May-20
Which country is the most equipped to deal with covid	-	Quora	7-May-20
What are the conspiracy theories surrounding covid	-	Quora	7-May-20
Is it true that wearing face masks is useless in preventing the contraction of the covid virus because the virus is smaller than the filter in the mask	-	Quora	7-May-20
What are the new things covid has taught you	-	Quora	7-May-20
What is the main cause of covid	-	Quora	7-May-20
As a medical professional what is your biggest concern about the covid	-	Quora	7-May-20
How long will it take for scientists to develop a vaccine to covid	-	Quora	7-May-20
Should China CDC (Center for Disease Control) be responsible for the outbreak of covid	-	Quora	7-May-20
What are the updates about the novel covid	-	Quora	7-May-20
Is it true that even if you already had the covid you can get it again	-	Quora	7-May-20
How has covid affected your everyday life	-	Quora	7-May-20
Why is there no vaccine for the covid virus	-	Quora	7-May-20
How do I stop covid	-	Quora	7-May-20
How different is the covid from a common flu	-	Quora	7-May-20
Will there be a second wave of the covid infection	-	Quora	7-May-20
How is covid tested	-	Quora	7-May-20
Was the covid predicted by anyone	-	Quora	7-May-20
Who profits the most over concerns of covid	-	Quora	7-May-20
As someone who lives in China how do you feel they are combating covid	-	Quora	7-May-20
Assuming covid is not over will it end the world and humanity	-	Quora	7-May-20
How soon will a vaccine for covid be ready	-	Quora	7-May-20
Is covid real	-	Quora	7-May-20
Why do people facing the covid crisis hoard toilet paper	-	Quora	7-May-20
How is Trump mishandling the covid situation	-	Quora	7-May-20
Why didn't God prevent the covid pandemic	-	Quora	7-May-20
How is the covid virus more dangerous than the regular flu	-	Quora	7-May-20
Do you think the covid outbreak is really serious	-	Quora	7-May-20
Who is in charge for the covid outbreak	-	Quora	7-May-20
