Question	Answer	Source	Date Retrieved
are covid tests available	-	Yahoo Autocomplete	4-May-20
are covid survivors immune	-	Yahoo Autocomplete	4-May-20
are covid carriers contagious	-	Yahoo Autocomplete	4-May-20
are covid treatments working in nyc	-	Yahoo Autocomplete	4-May-20
are covid test accurate	-	Yahoo Autocomplete	4-May-20
are covid tests free	-	Yahoo Autocomplete	4-May-20
are covid cases still rising in new york	-	Yahoo Autocomplete	4-May-20
are covid test kits increasing	-	Yahoo Autocomplete	4-May-20
are covid symptoms sudden	-	Yahoo Autocomplete	4-May-20
are covid tests reliable	-	Yahoo Autocomplete	4-May-20
can covid be transmitted through food	-	Yahoo Autocomplete	4-May-20
can covid live on surfaces	-	Yahoo Autocomplete	4-May-20
can covid mutate	-	Yahoo Autocomplete	4-May-20
can covid live in freezer	-	Yahoo Autocomplete	4-May-20
can covid reinfect	-	Yahoo Autocomplete	4-May-20
can covid live on paper	-	Yahoo Autocomplete	4-May-20
can covid live on food	-	Yahoo Autocomplete	4-May-20
can covid be sent through the mail	-	Yahoo Autocomplete	4-May-20
can  covid cause diarrhea	-	Yahoo Autocomplete	4-May-20
can covid live on clothes	-	Yahoo Autocomplete	4-May-20
did covid come from bats	-	Yahoo Autocomplete	4-May-20
did covid escape from a research lab	-	Yahoo Autocomplete	4-May-20
did covid come from pangolin	-	Yahoo Autocomplete	4-May-20
did covid come from a bat	-	Yahoo Autocomplete	4-May-20
did covid start in usa	-	Yahoo Autocomplete	4-May-20
did covid mutate	-	Yahoo Autocomplete	4-May-20
did covid start with a bat	-	Yahoo Autocomplete	4-May-20
did covid come from animals	-	Yahoo Autocomplete	4-May-20
did covid come from bats	-	Yahoo Autocomplete	4-May-20
did covid infects infant	-	Yahoo Autocomplete	4-May-20
do covid symptoms come and go	-	Yahoo Autocomplete	4-May-20
do covid masks have to be a specific material	-	Yahoo Autocomplete	4-May-20
do covid patients always have a fever	-	Yahoo Autocomplete	4-May-20
do covid symptoms come on quickly	-	Yahoo Autocomplete	4-May-20
do covid fevers come and go	-	Yahoo Autocomplete	4-May-20
do covid symptoms include sore throat	-	Yahoo Autocomplete	4-May-20
do covid patients have skin problems	-	Yahoo Autocomplete	4-May-20
do covid symptoms come and go	-	Yahoo Autocomplete	4-May-20
does covid cause runny nose	-	Yahoo Autocomplete	4-May-20
does covid give you a sore throat	-	Yahoo Autocomplete	4-May-20
does covid cause diarrhea	-	Yahoo Autocomplete	4-May-20
does covid die in heat	-	Yahoo Autocomplete	4-May-20
does covid cause a rash	-	Yahoo Autocomplete	4-May-20
does covid live on paper	-	Yahoo Autocomplete	4-May-20
does covid always have a fever	-	Yahoo Autocomplete	4-May-20
does covid cause nausea	-	Yahoo Autocomplete	4-May-20
does covid cause permanent lung damage	-	Yahoo Autocomplete	4-May-20
does covid cause dizziness	-	Yahoo Autocomplete	4-May-20
has covid mutated	-	Yahoo Autocomplete	4-May-20
has covid been around for a while	-	Yahoo Autocomplete	4-May-20
has covid peaked in italy	-	Yahoo Autocomplete	4-May-20
has covid hit russia	-	Yahoo Autocomplete	4-May-20
has covid been in the us since january	-	Yahoo Autocomplete	4-May-20
has covid mutated	-	Yahoo Autocomplete	4-May-20
has covid always existed	-	Yahoo Autocomplete	4-May-20
has covid reached hawaii	-	Yahoo Autocomplete	4-May-20
has covid peaked in washington	-	Yahoo Autocomplete	4-May-20
how covid started	-	Yahoo Autocomplete	4-May-20
how covid spreads	-	Yahoo Autocomplete	4-May-20
how covid- 19 kills	-	Yahoo Autocomplete	4-May-20
how covid spreads	-	Yahoo Autocomplete	4-May-20
how covid attacks lungs	-	Yahoo Autocomplete	4-May-20
how covid affects the body	-	Yahoo Autocomplete	4-May-20
how covid works	-	Yahoo Autocomplete	4-May-20
how covid kills	-	Yahoo Autocomplete	4-May-20
how covid got its name	-	Yahoo Autocomplete	4-May-20
is covid airborne	-	Yahoo Autocomplete	4-May-20
is covid man-made	-	Yahoo Autocomplete	4-May-20
is covid a hoax	-	Yahoo Autocomplete	4-May-20
is covid worse than the flu	-	Yahoo Autocomplete	4-May-20
is covid airborne or droplet	-	Yahoo Autocomplete	4-May-20
is covid mutating	-	Yahoo Autocomplete	4-May-20
is covid a bioweapon	-	Yahoo Autocomplete	4-May-20
is covid seasonal	-	Yahoo Autocomplete	4-May-20
was covid created in a lab	-	Yahoo Autocomplete	4-May-20
was covid man-made	-	Yahoo Autocomplete	4-May-20
was covid engineered	-	Yahoo Autocomplete	4-May-20
was covid released on purpose	-	Yahoo Autocomplete	4-May-20
was covid weaponized	-	Yahoo Autocomplete	4-May-20
was covid predicted	-	Yahoo Autocomplete	4-May-20
was covid in us before christmas	-	Yahoo Autocomplete	4-May-20
was covid manufactured	-	Yahoo Autocomplete	4-May-20
was covid a bio weapon	-	Yahoo Autocomplete	4-May-20
what is covid	-	Yahoo Autocomplete	4-May-20
what is covid virus	-	Yahoo Autocomplete	4-May-20
what is covid stand for	-	Yahoo Autocomplete	4-May-20
what are the symptoms of covid	-	Yahoo Autocomplete	4-May-20
when to get tested for covid	-	Yahoo Autocomplete	4-May-20
when covid will stop	-	Yahoo Autocomplete	4-May-20
when does fever start with covid	-	Yahoo Autocomplete	4-May-20
when are you contagious with covid	-	Yahoo Autocomplete	4-May-20
when covid start	-	Yahoo Autocomplete	4-May-20
when covid ends	-	Yahoo Autocomplete	4-May-20
when covid will end	-	Yahoo Autocomplete	4-May-20
where to get tested for covid	-	Yahoo Autocomplete	4-May-20
where covid come from	-	Yahoo Autocomplete	4-May-20
where is covid	-	Yahoo Autocomplete	4-May-20
where to donate for covid	-	Yahoo Autocomplete	4-May-20
where covid came from	-	Yahoo Autocomplete	4-May-20
where covid started	-	Yahoo Autocomplete	4-May-20
where can I get tested for covid	-	Yahoo Autocomplete	4-May-20
which covid symptom is first	-	Yahoo Autocomplete	4-May-20
which states have the most cases of covid	-	Yahoo Autocomplete	4-May-20
which animals are immune covid	-	Yahoo Autocomplete	4-May-20
which actor died from covid	-	Yahoo Autocomplete	4-May-20
which congressman has covid	-	Yahoo Autocomplete	4-May-20
which animal gave covid	-	Yahoo Autocomplete	4-May-20
which oklahoma counties have covid	-	Yahoo Autocomplete	4-May-20
which lakers players have covid	-	Yahoo Autocomplete	4-May-20
why covid	-	Yahoo Autocomplete	4-May-20
why covid is worse than the flu	-	Yahoo Autocomplete	4-May-20
why covid is dangerous	-	Yahoo Autocomplete	4-May-20
why covid called novel	-	Yahoo Autocomplete	4-May-20
why covid name	-	Yahoo Autocomplete	4-May-20
why covid is not the flu	-	Yahoo Autocomplete	4-May-20
why covid is different	-	Yahoo Autocomplete	4-May-20
why covid is contagious	-	Yahoo Autocomplete	4-May-20
why covid is different than the flu	-	Yahoo Autocomplete	4-May-20
will covid be gone by summer	-	Yahoo Autocomplete	4-May-20
will covid die out	-	Yahoo Autocomplete	4-May-20
will covid go away in spring	-	Yahoo Autocomplete	4-May-20
will covid end	-	Yahoo Autocomplete	4-May-20
will covid come back in the fall	-	Yahoo Autocomplete	4-May-20
will covid be a problem next year	-	Yahoo Autocomplete	4-May-20
will covid be seasonal	-	Yahoo Autocomplete	4-May-20
will covid mutate	-	Yahoo Autocomplete	4-May-20
will covid kill us all	-	Yahoo Autocomplete	4-May-20
will covid end	-	Yahoo Autocomplete	4-May-20
