Question ID,Question,Source,Answers
1,are covid numbers going down,data/TSVs/KeywordTool_Dataset.tsv,
1,have covid numbers going down,data/TSVs/KeywordTool_Dataset.tsv,
1,are covid cases declining,data/TSVs/Bing_Dataset.tsv,
1,have covid cases peaked,data/TSVs/Bing_Dataset.tsv,
1,is covid slowing down,data/TSVs/KeywordTool_Dataset.tsv,
1,has covid slowed down,data/TSVs/KeywordTool_Dataset.tsv,
1,did covid peak,data/TSVs/Bing_Dataset.tsv,
1,has covid peaked,data/TSVs/KeywordTool_Dataset.tsv,
1,have covid cases gone down,data/TSVs/KeywordTool_Dataset.tsv,
1,is covid getting worse,data/TSVs/KeywordTool_Dataset.tsv,
1,have covid deaths peaked,data/TSVs/KeywordTool_Dataset.tsv,
1,are covid cases dropping,data/TSVs/KeywordTool_Dataset.tsv,
1,are covid cases going down,data/TSVs/KeywordTool_Dataset.tsv,
1,are covid numbers increasing,data/TSVs/Bing_Dataset.tsv,
1,are covid cases decreasing,data/TSVs/Bing_Dataset.tsv,
1,is it true that covid is steadily declining,data/TSVs/Quora_Dataset.tsv,
1,when will covid reach its peak,data/TSVs/Quora_Dataset.tsv,
1,where are we on the covid curve now,data/TSVs/Quora_Dataset.tsv,
2,are covid tests free,data/TSVs/Yahoo_Dataset.tsv,
2,are covid test free,data/TSVs/KeywordTool_Dataset.tsv,
3,are covid deaths accurate ,data/TSVs/KeywordTool_Dataset.tsv,
3,is there underreporting of covid cases in specific countries or worldwide,data/TSVs/Quora_Dataset.tsv,
3,do you think the statistics on covid cases are underestimated,data/TSVs/Quora_Dataset.tsv,
4,which covid test is best,data/TSVs/KeywordTool_Dataset.tsv,
4,are covid antibody tests accurate,data/TSVs/KeywordTool_Dataset.tsv,
4,which covid test is most accurate,data/TSVs/KeywordTool_Dataset.tsv,
4,are covid tests accurate,data/TSVs/KeywordTool_Dataset.tsv,
4,do covid antibody tests work,data/TSVs/KeywordTool_Dataset.tsv,
4,which covid antibody tests are accurate,data/TSVs/KeywordTool_Dataset.tsv,
4,which covid test is more accurate,data/TSVs/KeywordTool_Dataset.tsv,
4,who covid antibodies ,data/TSVs/KeywordTool_Dataset.tsv,
4,are covid tests reliable,data/TSVs/Yahoo_Dataset.tsv,
4,are covid test accurate,data/TSVs/Yahoo_Dataset.tsv,
4,is it true that when they test for covid that they cannot specifically determine if it is covid or not,data/TSVs/Yahoo-Answers_Dataset.tsv,
5,can covid live on food,data/TSVs/Yahoo_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can covid be transmitted through food,data/TSVs/Yahoo_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
