what are the odds that the us can reopen by may 1,Speculation - Pandemic Duration
is covid likely to be at pandemic proportions for two years,Speculation - Pandemic Duration
will covid ever end,Speculation - Pandemic Duration
is covid dangerous for those who vape,Transmission - Demographics: General
how does being a smoker impact covid patient outcomes,Transmission - Demographics: General
is covid killing more liberals or conservatives,Transmission - Demographics: General
should i disinfect my groceries,Transmission - Survivability: Surfaces
can you get covid from packages,Transmission - Survivability: Surfaces
can covid live on objects,Transmission - Survivability: Surfaces
in covid what is the meaning of 19 here,Nomenclature - Reason for Name
why covid called novel,Nomenclature - Reason for Name
why covid name,Nomenclature - Reason for Name
are covid cases going down,Reporting - Number of Cases
is covid slowing down,Reporting - Number of Cases
are covid numbers going down,Reporting - Number of Cases
how is the us reaction to the spread of the covid different from chinas,Societal Response - United States
why does covid spread fast in the usa what makes it worse,Societal Response - United States
how come the infection rate of covid is much higher in the u.s. than it is in china even though china is more compact and populous,Societal Response - United States
what temperature kills the virus that causes covid,Transmission - Survivability: Temperature
how long will covid survive on items you put in the freezer,Transmission - Survivability: Temperature
does covid die in freezer,Transmission - Survivability: Temperature
what needs to change once the covid pandemic is over,Societal Effects - General
what would be the aftermath of the covid outbreak,Societal Effects - General
will the world go back to normal after the covid is gone,Societal Effects - General
will we get through covid,Societal Effects - Apocalyptic
will covid kill us all,Societal Effects - Apocalyptic
will covid end the world,Societal Effects - Apocalyptic
can covid be transmitted through food,Transmission - Food Contamination
can covid spread through food,Transmission - Food Contamination
can the virus that causes covid be spread through food,Transmission - Food Contamination
where covid started,Origin - Country
is china really the origin of covid,Origin - Country
where covid originate,Origin - Country
was covid engineered,Origin - Manufactured in Laboratory
did the covid develop in a laboratory,Origin - Manufactured in Laboratory
was covid manufactured,Origin - Manufactured in Laboratory
was covid meant to happen,Origin - Planned Release Conspiracy
was covid released on purpose,Origin - Planned Release Conspiracy
is covid bio engineered,Origin - Planned Release Conspiracy
has anyone that recovered from covid been reinfected,Transmission - Possibility of Reinfection
